secID,listDate,listStatusCD
113511.XSHG,2018/7/10,L
128040.XSHE,2018/7/13,L
113510.XSHG,2018/7/13,DE
110044.XSHG,2018/7/24,L
113512.XSHG,2018/7/24,DE
113513.XSHG,2018/7/31,DE
110045.XSHG,2018/7/31,L
127007.XSHE,2018/8/1,L
113514.XSHG,2018/8/13,L
123010.XSHE,2018/8/14,L
128041.XSHE,2018/8/14,L
123011.XSHE,2018/8/14,L
113516.XSHG,2018/8/20,L
123013.XSHE,2018/8/20,L
123014.XSHE,2018/8/21,L
113517.XSHG,2018/8/23,DE
128043.XSHE,2018/8/27,L
113515.XSHG,2018/8/27,L
123012.XSHE,2018/8/29,L
128042.XSHE,2018/9/3,L
128044.XSHE,2018/9/4,L
123015.XSHE,2018/9/13,L
128045.XSHE,2018/9/14,L
113518.XSHG,2018/10/9,L
128046.XSHE,2018/11/9,L
113520.XSHG,2018/11/26,L
128048.XSHE,2018/11/29,L
113519.XSHG,2018/11/30,L
123016.XSHE,2018/12/3,DE
128047.XSHE,2018/12/7,DE
113521.XSHG,2018/12/7,L
110047.XSHG,2018/12/10,L
113522.XSHG,2018/12/11,DE
113020.XSHG,2018/12/12,L
110046.XSHG,2018/12/18,DE
128049.XSHE,2018/12/20,L
123017.XSHE,2018/12/24,L
127008.XSHE,2018/12/25,L
113523.XSHG,2018/12/26,DE
128050.XSHE,2018/12/27,L
110048.XSHG,2018/12/28,L
113524.XSHG,2019/1/7,L
128051.XSHE,2019/1/9,L
113525.XSHG,2019/1/11,L
110049.XSHG,2019/1/18,DE
128052.XSHE,2019/1/21,L
110050.XSHG,2019/1/21,DE
123018.XSHE,2019/1/23,L
127010.XSHE,2019/2/18,DE
113526.XSHG,2019/2/18,L
113527.XSHG,2019/2/19,L
127009.XSHE,2019/2/21,DE
128053.XSHE,2019/3/7,L
128054.XSHE,2019/3/14,L
113021.XSHG,2019/3/19,L
113528.XSHG,2019/3/20,L
128056.XSHE,2019/3/22,L
123019.XSHE,2019/3/22,DE
110051.XSHG,2019/3/22,L
113022.XSHG,2019/3/28,L
123020.XSHE,2019/3/29,L
110052.XSHG,2019/3/29,L
128057.XSHE,2019/4/2,L
128059.XSHE,2019/4/2,L
113529.XSHG,2019/4/2,DE
110053.XSHG,2019/4/3,L
110055.XSHG,2019/4/4,L
128058.XSHE,2019/4/8,L
110054.XSHG,2019/4/10,DE
123022.XSHE,2019/4/10,L
128060.XSHE,2019/4/15,DE
123023.XSHE,2019/4/16,L
110056.XSHG,2019/4/16,L
123024.XSHE,2019/4/17,L
113530.XSHG,2019/4/18,L
123025.XSHE,2019/4/19,L
113531.XSHG,2019/4/22,L
113533.XSHG,2019/4/24,DE
113532.XSHG,2019/4/24,L
128061.XSHE,2019/4/24,DE
128062.XSHE,2019/4/24,L
128063.XSHE,2019/4/24,L
113024.XSHG,2019/4/26,L
113534.XSHG,2019/4/30,L
110057.XSHG,2019/4/30,L
127012.XSHE,2019/4/30,L
128064.XSHE,2019/5/7,L
113025.XSHG,2019/5/7,L
110058.XSHG,2019/5/8,L
113026.XSHG,2019/5/8,L
128065.XSHE,2019/5/10,L
128066.XSHE,2019/5/14,L
127013.XSHE,2019/5/16,L
128067.XSHE,2019/5/17,L
113535.XSHG,2019/6/3,L
113536.XSHG,2019/6/24,L
128068.XSHE,2019/7/1,DE
123026.XSHE,2019/7/1,L
123027.XSHE,2019/7/4,L
113537.XSHG,2019/7/5,L
113028.XSHG,2019/7/8,L
113027.XSHG,2019/7/10,L
128069.XSHE,2019/7/11,L
123028.XSHE,2019/7/15,L
113538.XSHG,2019/7/22,DE
128070.XSHE,2019/7/23,L
113539.XSHG,2019/7/26,DE
113540.XSHG,2019/8/5,DE
113541.XSHG,2019/8/13,L
113542.XSHG,2019/8/23,L
113543.XSHG,2019/9/4,L
123029.XSHE,2019/9/10,L
128073.XSHE,2019/9/11,L
123030.XSHE,2019/9/12,L
128071.XSHE,2019/9/16,L
128072.XSHE,2019/9/16,L
123031.XSHE,2019/9/26,L
113544.XSHG,2019/10/15,L
128074.XSHE,2019/10/21,L
123032.XSHE,2019/10/31,L
128075.XSHE,2019/10/31,L
113545.XSHG,2019/11/7,L
128077.XSHE,2019/11/7,L
128078.XSHE,2019/11/8,L
128076.XSHE,2019/11/8,L
110059.XSHG,2019/11/15,L
128079.XSHE,2019/11/21,L
127014.XSHE,2019/11/21,L
113546.XSHG,2019/11/21,L
113547.XSHG,2019/11/22,L
113548.XSHG,2019/11/22,L
123033.XSHE,2019/11/25,L
110060.XSHG,2019/11/28,L
123034.XSHE,2019/11/28,L
110061.XSHG,2019/12/2,L
128080.XSHE,2019/12/9,L
123035.XSHE,2019/12/9,L
113549.XSHG,2019/12/11,L
113551.XSHG,2019/12/11,L
113550.XSHG,2019/12/12,L
128081.XSHE,2019/12/16,L
113552.XSHG,2019/12/19,L
110062.XSHG,2019/12/25,L
128083.XSHE,2019/12/31,L
110063.XSHG,2020/1/3,L
128082.XSHE,2020/1/6,L
113029.XSHG,2020/1/7,L
113553.XSHG,2020/1/7,L
128085.XSHE,2020/1/8,L
113556.XSHG,2020/1/9,L
128086.XSHE,2020/1/10,L
123036.XSHE,2020/1/10,L
113554.XSHG,2020/1/10,L
113559.XSHG,2020/1/10,L
128084.XSHE,2020/1/10,L
113557.XSHG,2020/1/10,L
110065.XSHG,2020/1/13,L
113558.XSHG,2020/1/14,L
113555.XSHG,2020/1/14,L
110064.XSHG,2020/1/16,L
128087.XSHE,2020/1/16,L
128088.XSHE,2020/1/16,L
128091.XSHE,2020/1/17,L
113030.XSHG,2020/1/20,L
128093.XSHE,2020/1/21,L
128089.XSHE,2020/1/21,L
123037.XSHE,2020/1/22,L
128092.XSHE,2020/1/22,L
123038.XSHE,2020/1/22,L
123040.XSHE,2020/1/23,L
123039.XSHE,2020/1/23,L
113562.XSHG,2020/2/4,L
127015.XSHE,2020/2/4,L
113561.XSHG,2020/2/10,L
123042.XSHE,2020/2/14,L
113031.XSHG,2020/2/17,L
128094.XSHE,2020/2/19,L
113563.XSHG,2020/2/24,L
128095.XSHE,2020/2/28,L
113564.XSHG,2020/3/16,L
128096.XSHE,2020/3/16,L
113565.XSHG,2020/3/16,L
128097.XSHE,2020/3/18,L
113032.XSHG,2020/3/20,L
110066.XSHG,2020/3/31,L
123043.XSHE,2020/3/31,L
128098.XSHE,2020/3/31,L
113566.XSHG,2020/3/31,L
113571.XSHG,2020/4/1,L
113568.XSHG,2020/4/2,L
113567.XSHG,2020/4/3,L
113569.XSHG,2020/4/8,L
113570.XSHG,2020/4/8,L
128100.XSHE,2020/4/9,L
113572.XSHG,2020/4/9,L
110067.XSHG,2020/4/9,L
128099.XSHE,2020/4/10,L
123044.XSHE,2020/4/13,L
128101.XSHE,2020/4/13,L
123045.XSHE,2020/4/13,L
110068.XSHG,2020/4/15,L
128102.XSHE,2020/4/16,L
123046.XSHE,2020/4/17,L
123047.XSHE,2020/4/17,L
128103.XSHE,2020/4/21,L
113033.XSHG,2020/4/21,L
113574.XSHG,2020/4/27,L
110069.XSHG,,UN
110070.XSHG,,UN
113034.XSHG,,UN
113573.XSHG,,UN
113575.XSHG,,UN
113576.XSHG,,UN
113577.XSHG,,UN
113578.XSHG,,UN
113579.XSHG,,UN
113580.XSHG,,UN
113581.XSHG,,UN
123048.XSHE,,UN
123049.XSHE,,UN
123050.XSHE,,UN
125502.XSHE,,DE
127016.XSHE,,UN
128104.XSHE,,UN
128105.XSHE,,UN
128106.XSHE,,UN
128107.XSHE,,UN
