代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低
127013.SZ,创维转债,107.3,0.0123,5051300,5385809,0.00516529707334941,创维数字,8.89,-0.0078,11.29,78.7422,0.3627,100.2629,2.4129,-0.2138,7.145,INF,113,INF,3.8,20250415,977930200,AA,AA,偏债型,143.57
127014.SZ,北方转债,112.951,0.0505,316769500,359145197,0.592338759140248,北方国际,8.42,0.1007,8.65,97.341,0.1604,98.1426,0.446,-0.0075,14.873,INF,110,100.433,4.326,20251024,534777600,AA+,AA+,平衡型,128.991
127015.SZ,希望转债,107.6,0.0054,14839900,15932477,0.0156206925044907,新希望,14.11,0.005,19.75,71.443,0.5061,93.5816,0.4966,-0.2358,14.111,INF,106,INF,4.5205,20260103,950015500,AAA,AAA,偏债型,158.21
127016.SZ,鲁泰转债,100.16,0.0016,5360600,5367895,0.00382932385138857,鲁泰A,6.03,0.005,8.71,69.2308,0.4468,96.7279,3.1559,-0.284,3.467,INF,111,INF,4.7836,20260409,1399881600,AA+,AA+,偏债型,144.84
127017.SZ,万青转债,113.1,0.0143,3357700,3787380,0.00335889711093034,万年青,11.75,0.0164,13.46,87.2957,0.2956,97.8468,0.8777,-0.1075,15.294,INF,113,INF,4.9342,20260603,999643600,AA+,AA+,平衡型,142.66
127018.SZ,本钢转债,100.05,0.0055,134476500,134463927,0.0199186823217641,本钢板材,4.56,0.0459,5.03,90.6561,0.1036,107.7153,5.3216,-0.1569,-7.483,INF,119,INF,5.0055,20260629,6751274900,AA+,AAA,平衡型,110.41
127019.SZ,国城转债,92.31,0.0039,5728300,5277912,0.00674031042869565,国城矿业,8.93,0.0056,21.07,42.3825,1.178,92.3384,4.5581,-0.5408,0.017,INF,110,INF,5.0493,20260715,849857000,AA,AA,偏债型,210.11
127020.SZ,中金转债,111.6,0.0051,29211000,32684496,0.00768961045730162,中金岭南,4.56,0.0156,4.63,98.4881,0.1331,93.6015,0.3736,0.0527,18.041,INF,110,INF,5.063,20260720,3798762000,AA+,AA+,平衡型,124.91
127021.SZ,特发转2,106.383,0.0017,6363600,6784301,0.0115722900790289,特发信息,8.13,-0.0205,12.33,65.9367,0.6134,95.1933,1.5629,-0.3067,11.274,INF,110,INF,4.1123,20250807,549899800,AA,AA,偏债型,167.723
127022.SZ,恒逸转债,125.6,0.0325,64536000,80782531,0.0322696070264299,恒逸石化,12.44,0.0419,11.5,108.1739,0.1611,88.6526,-2.688,0.2207,36.986,INF,105,INF,5.3041,20261016,1999900400,AA+,AA+,偏股型,141.71
127023.SZ,华菱转2,131.2,0.0402,286177700,376846360,0.164384358741044,华菱钢铁,6.53,0.0398,4.97,131.3883,-0.0014,90.6882,-3.2836,0.4512,40.662,100.15,106,INF,5.3233,20261023,1740905900,AAA,AAA,偏股型,131.06
127024.SZ,盈峰转债,112.9,-0.0003,5719200,6437619,0.00387442269293107,盈峰环境,6.93,-0.0029,8.31,83.3935,0.3538,93.2099,0.317,-0.105,19.727,INF,110,INF,5.3562,20261104,1476142500,AA+,AA+,平衡型,148.28
127025.SZ,冀东转债,108.211,0.0063,2760200,2978764,0.00155372154643985,冀东水泥,12.38,-0.0008,15.28,81.0209,0.3356,90.4956,0.3281,-0.1034,17.848,INF,106,INF,5.3589,20261105,1776508800,AAA,AAA,平衡型,141.771
127026.SZ,超声转债,107.16,0.004,8294900,8880060,0.0118511912483862,超声电子,11.08,-0.0027,12.72,87.1069,0.2302,88.8787,1.0128,-0.0195,18.321,INF,108,INF,5.4493,20261208,699921200,AA,AA,平衡型,130.18
127027.SZ,靖远转债,103.73,0.0196,120955900,125101081,0.0432054732788522,靖远煤电,3.13,0.0195,3.23,96.904,0.0704,93.2111,1.9957,0.04,10.552,INF,110,INF,5.4548,20261210,2799550400,AA+,AA+,平衡型,110.77
127028.SZ,英特转债,108.648,0.0031,9926100,10758913,0.0165435,英特集团,13.3,0.0076,13.4,99.2537,0.0946,91.1504,0.7422,0.0893,17.53,INF,108,INF,5.526,20270105,600000000,AA+,AA+,平衡型,118.108
127029.SZ,中钢转债,154.28,0.0172,362180100,558572829,0.3772709375,中钢国际,10.04,0.0162,5.89,170.4584,-0.0949,93.6165,-4.6993,0.8213,60.686,INF,113,INF,5.726,20270319,960000000,AA+,AA+,偏股型,144.79
127030.SZ,盛虹转债,150,0.0033,463786200,696197209,0.09275724,东方盛虹,19.62,0.0192,14.1,139.1489,0.078,89.6184,-4.9531,0.5531,60.403,INF,108,INF,5.7342,20270322,5000000000,AA+,AA+,偏股型,157.8
127031.SZ,洋丰转债,116.317,0.001,4593000,5347180,0.004593,新洋丰,15.28,-0.0084,19.94,76.6299,0.5179,90.5671,0.1188,-0.1537,25.769,INF,112,INF,5.7425,20270325,1000000000,AA,AA,平衡型,168.107
127032.SZ,苏行转债,115.61,0.0053,23138700,26656108,0.00462774,苏州银行,7.7,0.0039,8.1,95.0617,0.2162,92.7964,-0.0775,0.0249,22.861,INF,110,INF,5.7918,20270412,5000000000,AAA,AAA,平衡型,137.23
127033.SZ,中装转2,105.317,0.0181,102334300,107474148,0.088219224137931,中装建设,5.93,0.0172,6.28,94.4268,0.1153,90.3195,1.875,0.0457,15.016,INF,112,INF,5.8027,20270416,1160000000,AA,AA,平衡型,116.847
127034.SZ,绿茵转债,102.662,0.0074,15082400,15446328,0.0211831460674157,绿茵生态,10.68,0.0104,12.38,86.2682,0.19,81.3804,2.6089,0.061,21.354,INF,113,INF,5.8411,20270430,712000000,AA-,AA-,平衡型,121.662
127035.SZ,濮耐转债,107.113,0.0041,28082500,30046182,0.0448322715086744,濮耐股份,4.27,0.0023,4.43,96.3883,0.1113,92.653,1.4293,0.0407,14.494,INF,108.8,INF,4.9123,20260526,626390300,AA,AA,平衡型,118.243
127036.SZ,三花转债,0,0,0,0,0,三花智控,23.5,0.0266,21.55,109.0487,0,90.2923,0,0.2079,0,INF,110,INF,5.9288,20270601,3000000000,AA+,AA+,偏股型,0
127037.SZ,银轮转债,0,0,0,0,0,银轮股份,10.71,-0.0028,10.77,99.4429,0,88.0736,0,0.1292,0,INF,110,INF,5.9452,20270607,700000000,AA,AA,平衡型,0
127038.SZ,国微转债,0,0,0,0,0,紫光国微,146.92,-0.0053,137.78,106.6338,0,90.1229,0,0.1834,0,INF,110,INF,5.9534,20270610,1500000000,AA+,AA+,平衡型,0
127039.SZ,北港转债,0,0,0,0,,北部湾港,0,0,0,0,0,0,0,0,0,INF,108,INF,0,0,0,,,-,0
128013.SZ,洪涛转债,110.161,0.0148,94909600,104460828,0.0820270967989506,洪涛股份,2.56,0.0323,2.32,110.3448,-0.0017,103.5102,-0.3044,0.0663,6.679,INF,108,INF,1.0877,20220729,1157051800,AA-,AA-,平衡型,109.991
128014.SZ,永东转债,105.011,0.0018,3668000,3852348,0.010883804702765,永东股份,9.1,0.0282,12.52,72.6837,0.4448,99.0683,2.5164,-0.266,5.992,INF,108,INF,1.8055,20230417,337014500,AA-,AA-,偏债型,149.491
128015.SZ,久其转债,101.661,0.0009,19429000,19750965,0.0249237688525368,久其软件,5.2,0.0117,6.97,74.6055,0.3626,94.0974,3.9043,-0.2067,7.615,INF,108,100.808,1.9479,20230608,779537000,A+,A+,偏债型,137.921
128017.SZ,金禾转债,160.689,-0.0202,48744000,78128544,0.0883030360780872,金禾实业,33.33,-0.0027,21.97,151.7069,0.0592,99.782,-15.4698,0.5205,60.916,INF,106,100.2,2.3479,20231101,552008200,AA,AA,偏股型,166.609
128018.SZ,时达转债,113,-0.0039,5866600,6648771,0.0144690053119939,新时达,7.33,0,7.42,98.7871,0.1439,100.2153,-1.4225,-0.0142,12.794,INF,106,100.432,2.3616,20231106,405459800,AA,AA,平衡型,127.39
128021.SZ,兄弟转债,106.688,-0.0027,2552000,2719558,0.0096185049179883,兄弟科技,4.26,0,5.19,82.0809,0.2998,99.5073,0.8238,-0.175,7.19,INF,106,INF,2.4219,20231128,265321900,AA,AA,平衡型,136.668
128022.SZ,众信转债,0,0,0,0,0,众信旅游,5.8,0,7.92,73.2323,0,85.7724,0,-0.1456,0,INF,106,100.252,2.4301,20231201,455997400,A,A,平衡型,0
128023.SZ,亚太转债,107.66,-0.0045,21920700,23685706,0.0219456192506591,亚太股份,8.37,-0.0279,10.34,80.9478,0.33,101.7545,1.395,-0.2044,5.915,INF,108,INF,2.4384,20231204,998864500,AA,AA,偏债型,140.66
128025.SZ,特一转债,116.45,-0.0004,80684000,94370089,0.270701443658274,特一药业,14,0.0167,14.05,99.6441,0.1687,94.2225,-2.7774,0.0578,22.252,INF,106,INF,2.4438,20231206,298055300,AA-,AA-,平衡型,133.32
128026.SZ,众兴转债,132,-0.0724,1134881700,1525853016,1.23784192539714,众兴菌业,14.11,0.0998,11.36,124.2077,0.0627,94.5277,-7.4802,0.3135,37.439,INF,106,INF,2.463,20231213,916822800,AA-,AA-,偏股型,138.27
128029.SZ,太阳转债,175.99,-0.0001,16367000,28671482,0.0180096374172637,太阳纸业,13.83,0.0073,8.55,161.7544,0.088,102.0411,-28.4689,0.5864,74.026,INF,106,INF,1.4877,20221222,908791200,AA+,AA+,偏股型,184.79
128030.SZ,天康转债,174.18,0,2882500,5018541,0.0318396057080432,天康生物,8.68,0.0058,7.39,117.456,0.4829,101.4754,-16.6715,0.1576,72.713,INF,108,100.005,2.4877,20231222,90531900,AA,AA,平衡型,222.47
128032.SZ,双环转债,140.7,0.0659,422873400,591889294,0.620825916304349,双环传动,14,0.0712,9.87,141.844,-0.0081,99.6245,-9.7532,0.4239,41.084,INF,106,INF,2.4959,20231225,681146500,AA,AA,偏股型,139.89
128033.SZ,迪龙转债,137.679,-0.0003,194287200,266944932,0.652026482811946,雪迪龙,9.48,0.0053,8.71,108.8404,0.265,99.1221,-9.0842,0.0981,38.565,INF,106,INF,2.5014,20231227,297974400,AA,AA,平衡型,164.179
128034.SZ,江银转债,105.816,0.0059,26941100,28488472,0.0153236348657727,江阴银行,3.98,0.0051,4.32,92.1296,0.1486,99.1676,0.9111,-0.0704,6.704,INF,106,INF,2.5836,20240126,1758140300,AA+,AA+,平衡型,120.676
128035.SZ,大族转债,111.299,0.0017,25985400,28956404,0.0112998192709026,大族激光,38.74,0.0107,51.9,74.6435,0.4911,98.2395,-1.3676,-0.2398,13.116,INF,105,103,2.6137,20240206,2299629700,AA+,AA+,偏债型,160.409
128036.SZ,金农转债,118.66,0.0005,11940500,14172714,0.0818281311141523,金新农,5.66,0.0035,6.93,81.6739,0.4529,93.1068,-3.0403,-0.1228,25.555,INF,106,INF,2.6986,20240309,145921700,AA-,AA-,平衡型,163.95
128037.SZ,岩土转债,104.149,-0.0008,12647700,13172409,0.0209802320321399,中化岩土,3.1,0.0032,7.99,38.7985,1.6844,100.4359,2.5121,-0.6136,3.749,INF,108,INF,2.7151,20240315,602838900,AA,AA,偏债型,272.589
128039.SZ,三力转债,106.278,0.0008,2037700,2165578,0.0100606343675062,三力士,4.83,0.0084,5.79,83.4197,0.274,91.1433,0.8077,-0.084,15.211,INF,106,INF,2.9479,20240608,202541900,AA-,AA-,平衡型,133.678
128040.SZ,华通转债,108.03,-0.0016,10260000,11101761,0.0461660158728302,浙农股份,9.49,-0.0021,10.15,93.4975,0.1554,99.2262,1.0242,0.0043,14.928,INF,108,INF,2.9644,20240614,222241400,AA,AA,平衡型,123.57
128041.SZ,盛路转债,275.5,-0.0046,27075000,75073892,0.511058301228994,盛路通信,6.56,-0.0209,6.82,96.1877,1.8642,101.5347,-25.3521,-0.0517,174.067,INF,110,100.455,3.0548,20240717,52978300,AA-,AA,平衡型,461.92
128042.SZ,凯中转债,106.804,-0.006,2485400,2660197,0.00598017883752003,凯中精密,10.64,0,12.86,82.7372,0.2909,103.1611,2.8541,-0.1972,3.748,INF,112,INF,3.0904,20240730,415606300,AA,AA,平衡型,135.894
128044.SZ,岭南转债,98.8,0.0045,10288600,10139557,0.0156087007970775,岭南股份,3.07,0.0132,5.91,51.9459,0.902,98.5795,3.9647,-0.4725,0.321,INF,107,INF,3.1315,20240814,659158000,AA,AA,偏债型,189
128046.SZ,利尔转债,142.96,0.0637,296114800,424405715,0.349709699949666,利尔化学,25.74,0.1,18.42,139.7394,0.023,98.5169,-7.1626,0.4199,44.542,INF,108,100.471,3.3068,20241017,846744600,AA,AA,偏股型,145.26
128048.SZ,张行转债,110.5,0.0072,26683700,29413120,0.0106841444856598,张家港行,5.55,0.0128,5.76,96.3542,0.1468,100.4388,0.7579,-0.0401,10.116,INF,109,INF,3.3781,20241112,2497504600,AA+,AA+,平衡型,125.18
128049.SZ,华源转债,102.216,-0.0048,3478000,3568656,0.00957702219594675,华源控股,5.74,-0.012,7.37,77.8833,0.3124,93.0106,3.4433,-0.1618,9.3,INF,110,INF,3.4192,20241127,363160900,AA-,AA-,平衡型,133.456
128050.SZ,钧达转债,132.291,0.0075,23927200,31537199,0.169492341846486,钧达股份,19.58,0.0093,14.8,132.2973,0,99.3461,-2.1945,0.333,33.045,INF,118,INF,3.4548,20241210,141169800,AA-,AA-,偏股型,132.291
128051.SZ,光华转债,122.28,-0.0047,19151000,23607386,0.0859375,光华科技,15.52,-0.0127,12.72,122.0126,0.0022,92.9188,-1.8406,0.3144,29.454,INF,110,INF,3.4658,20241214,222848000,AA-,AA-,偏股型,122.5
128053.SZ,尚荣转债,132.3,-0.0214,106176100,141480190,0.557100139516263,尚荣医疗,5.61,-0.0071,4.89,114.7239,0.1532,98.5758,-4.0075,0.165,33.822,INF,110,INF,3.6356,20250214,190587100,AA,AA,平衡型,147.62
128056.SZ,今飞转债,109.735,0,1603000,1759266,0.00930421533773489,今飞凯达,5.08,0,6.7,75.8209,0.4473,89.2146,2.5631,-0.1494,20.598,INF,115,INF,3.674,20250228,172287500,A+,A+,平衡型,154.465
128057.SZ,博彦转债,123.88,0.0333,167020800,208821731,0.330280628427965,博彦科技,10.59,0.0475,8.5,124.5882,-0.0057,92.6115,-1.7256,0.3468,31.372,INF,112,100.443,3.6877,20250305,505693600,AA-,AA-,偏股型,123.31
128062.SZ,亚药转债,80.8,0.0094,42842000,34613607,0.0444822195715952,亚太药业,4.75,0.0326,16.25,29.2308,1.7642,53.7896,11.1166,-0.456,27.071,INF,115,INF,3.7644,20250402,963126400,BB,BB,偏债型,257.22
128063.SZ,未来转债,106.59,-0.0037,1773000,1893076,0.00281496756198406,德尔未来,6.37,-0.0185,8.6,74.0698,0.439,101.1889,5.0081,-0.2672,5.518,INF,120,INF,3.7671,20250403,629847400,AA-,AA-,偏债型,150.49
128064.SZ,司尔转债,119.529,0.0046,16432600,19769131,0.0207550563341786,司尔特,6.76,0.0181,5.82,116.1512,0.0291,97.7856,-1.1956,0.1891,21.848,INF,110,INF,3.7808,20250408,791739600,AA,AA,平衡型,122.439
128066.SZ,亚泰转债,104.005,0.0041,6999100,7279442,0.0145883695734187,郑中设计,8.25,0.0123,9.27,88.9968,0.1686,92.2045,3.1317,-0.0337,11.909,INF,112,100.366,3.8055,20250417,479772600,AA-,AA-,平衡型,120.865
128069.SZ,华森转债,105.003,0.0028,15221000,15965583,0.0507751542335757,华森制药,13.44,0.0067,18.01,74.6252,0.4071,92.9207,3.3018,-0.196,12.191,INF,115,INF,3.9918,20250624,299772600,AA-,AA-,平衡型,145.713
128070.SZ,智能转债,110.53,-0.0025,21734300,24021199,0.094618232412675,智能自控,6.67,0.0015,9.51,70.1367,0.5759,84.8192,1.5963,-0.1724,25.779,INF,112,INF,4.0137,20250702,229705200,A+,A+,平衡型,168.12
128071.SZ,合兴转债,106.859,0.0006,6590600,7048603,0.0219729367407066,合兴包装,3.76,-0.0027,4.28,87.8505,0.2164,96.5011,1.7833,-0.0888,10.443,INF,110,INF,4.137,20250816,299941700,AA,AA,平衡型,128.499
128072.SZ,翔鹭转债,101,0.007,4950000,4986624,0.0164004764421237,翔鹭钨业,8.96,-0.0078,15.34,58.4094,0.7292,88.694,3.2716,-0.341,12.368,INF,110,INF,4.1479,20250820,301820500,AA-,AA-,偏债型,173.92
128073.SZ,哈尔转债,109.139,-0.0042,5019000,5484569,0.0167947774566503,哈尔斯,4.75,-0.0206,5.7,83.3333,0.3097,95.3006,1.7833,-0.1247,13.938,INF,112,INF,3.1534,20240822,298842900,AA-,AA-,平衡型,140.109
128074.SZ,游族转债,118.447,0.0021,81364600,96040771,0.119177743496421,游族网络,17.97,-0.0175,16.97,105.8928,0.1186,100.1948,0.2934,0.0586,18.418,INF,115,INF,4.2411,20250923,682716400,AA,AA,平衡型,130.307
128075.SZ,远东转债,118.91,0.0048,4916100,5842376,0.00903947925126832,远东传动,6.37,0.0047,5.54,114.9819,0.0342,96.0349,-0.8215,0.1993,23.034,INF,110,INF,4.2411,20250923,543847700,AA,AA,平衡型,122.33
128076.SZ,金轮转债,107.12,-0.0026,4370000,4679583,0.0204355818552609,金轮股份,12.91,-0.0197,14.66,88.0628,0.2164,87.5587,1.6779,0.0062,19.596,INF,110,INF,4.2986,20251014,213842700,AA-,AA-,平衡型,128.76
128078.SZ,太极转债,117.339,-0.0003,3457000,4044382,0.00359973788660086,太极股份,20.46,-0.0303,22.4,91.3393,0.2846,97.2405,-0.0884,-0.0604,20.127,INF,112,INF,4.3178,20251021,960347700,AA,AA,平衡型,145.799
128079.SZ,英联转债,133.097,-0.021,75337000,100738309,0.495566757158015,英联股份,8.54,-0.0394,8.29,103.0157,0.292,82.2907,-2.9016,0.2528,50.866,INF,112,INF,4.3178,20251021,152021900,A+,A+,偏股型,162.297
128081.SZ,海亮转债,111,0.0091,25181400,27949798,0.00837641447254841,海亮股份,10.37,-0.0019,9.69,107.0175,0.0372,95.118,0.8028,0.1252,15.888,INF,110,INF,4.4027,20251121,3006226600,AA,AA,平衡型,114.72
128082.SZ,华锋转债,114.9,0.0052,5464000,6268859,0.0175221656678434,华锋股份,10.09,0.012,9.13,110.5148,0.0397,84.2283,1.2787,0.313,30.73,INF,115,INF,4.4384,20251204,311833600,A+,A+,偏股型,118.87
128083.SZ,新北转债,104.401,-0.0003,2097800,2191730,0.00239232130775062,新北洋,9.22,0.0022,11.45,80.524,0.2965,94.8,2.2147,-0.1506,9.601,INF,110,INF,4.4603,20251212,876888900,AA,AA,平衡型,134.051
128085.SZ,鸿达转债,108,0.0172,71895300,77810721,0.0923716579573814,鸿达兴业,4.12,0.0404,3.91,105.3708,0.025,39.2826,3.2829,1.685,68.756,INF,118,INF,4.4712,20251216,778326400,B,B,偏股型,110.5
128087.SZ,孚日转债,103.34,0.0023,12036800,12449507,0.0185245975561653,孚日股份,4.3,-0.0046,4.5,95.5556,0.0815,84.9078,2.0374,0.1255,18.439,INF,108,INF,4.474,20251217,649773900,AA-,AA-,平衡型,111.49
128090.SZ,汽模转2,110.242,-0.0035,8187000,9041915,0.0263743188164512,天汽模,4.1,-0.0073,4.21,97.3872,0.132,94.6297,0.9413,0.0291,15.612,INF,110,INF,4.5014,20251227,310415600,AA-,AA,平衡型,123.442
128091.SZ,新天转债,122.17,0.0024,34162000,41913905,0.193815733784485,新天药业,18.26,0.0088,16.39,111.4094,0.0966,82.28,-0.5196,0.3549,39.944,INF,113,INF,4.5096,20251230,176260200,A+,A+,偏股型,131.83
128093.SZ,百川转债,131.601,0.0125,215366200,282926058,0.566239965673216,百川股份,7.62,0.0146,5.77,132.0624,-0.0035,97.812,-0.3148,0.3503,33.798,INF,120,INF,4.5205,20260103,380344400,AA-,AA-,偏股型,131.251
128094.SZ,星帅转债,121.71,0.0092,29504000,36098805,0.116250984551748,星帅尔,16.61,0.0153,13.8,120.3623,0.0112,82.8829,-0.1311,0.4531,38.879,INF,115,INF,4.5562,20260116,253795700,A+,A+,偏股型,122.83
128095.SZ,恩捷转债,331.825,0.0439,226809300,748206618,0.426795846776789,恩捷股份,214.4,0.0309,64.92,330.2526,0.0048,94.0595,-20.7305,2.5113,237.772,INF,110,INF,4.6274,20260211,531423400,AA,AA,偏股型,332.305
128096.SZ,奥瑞转债,123.372,-0.0002,1382400,1704771,0.00203581257034738,奥瑞金,5.21,0.0058,4.5,115.7778,0.0656,97.1309,-1.4436,0.1923,26.271,INF,110,INF,4.6274,20260211,679040900,AA+,AA+,平衡型,129.932
128097.SZ,奥佳转债,220.681,-0.0248,95630900,211115455,0.20803372886127,奥佳华,22.85,-0.0172,10.39,219.923,0.0034,93.8647,-13.2375,1.3433,126.831,INF,110,INF,4.6658,20260225,459689400,AA,AA,偏股型,221.021
128100.SZ,搜特转债,83.66,0.0035,14049100,11754428,0.0175745603138755,搜于特,1.6,0.0063,2.9,55.1724,0.5163,95.3183,7.5159,-0.4211,-11.643,INF,112,INF,4.7068,20260312,799399800,AA,AA,偏债型,135.29
128101.SZ,联创转债,123.78,0.0146,102747300,128808710,0.342626565911246,联创电子,12.97,0.0277,13.72,94.5335,0.3094,93.5522,-1.6102,0.0106,30.243,INF,110,INF,4.7178,20260316,299881300,AA,AA,平衡型,154.72
128103.SZ,同德转债,163.022,-0.0129,38460000,62899482,0.353109678840963,同德化工,7.55,-0.0233,5.08,148.622,0.0969,81.6372,-6.1532,0.8216,81.432,INF,115,INF,4.7452,20260326,108918000,A+,A+,偏股型,172.712
128105.SZ,长集转债,107.55,-0.0014,26178800,28183491,0.0327426094054142,长青集团,7.04,-0.0126,7.91,89.0013,0.2084,93.3481,1.4169,-0.0463,14.226,INF,110,INF,4.7836,20260409,799533100,AA,AA,平衡型,128.39
128106.SZ,华统转债,110.45,0.0005,5348000,5906372,0.00999247014684148,华统股份,8.96,0,9.4,95.3191,0.1587,91.7199,0.4678,0.0395,18.754,INF,108,INF,4.7863,20260410,535203000,AA,AA,平衡型,126.32
128107.SZ,交科转债,109.496,0.003,6799100,7447721,0.0027199754273697,浙江交科,5.37,-0.0056,5.36,100.1866,0.0929,95.7656,1.0227,0.0465,13.765,INF,110,INF,4.8192,20260422,2499691700,AA+,AA+,平衡型,118.786
128108.SZ,蓝帆转债,121.6,0.0124,225253700,278200152,0.147168379878829,蓝帆医疗,21.18,0.0342,18.64,113.6266,0.0702,91.1584,-1.5237,0.2469,30.474,INF,108,INF,4.9178,20260528,1530584900,AA,AA,偏股型,128.62
128109.SZ,楚江转债,120.5,-0.0131,19025400,22939186,0.0103970308999273,楚江新材,8.75,-0.0289,8.63,101.3905,0.1885,92.687,-0.9754,0.0943,27.847,INF,110,INF,4.937,20260604,1829887800,AA,AA,平衡型,139.35
128111.SZ,中矿转债,269.97,-0.0012,142847200,386065252,0.92504256185797,中矿资源,40.64,-0.025,15.42,263.5538,0.0243,90.4434,-14.7148,1.9155,179.572,INF,118,INF,4.9562,20260611,154422300,AA-,AA-,偏股型,272.4
128113.SZ,比音转债,162.783,0.0011,26808000,43726351,0.0807272681281771,比音勒芬,24.24,0,14.9,162.6846,0.0006,94.1284,-6.5438,0.7291,68.696,INF,112,INF,4.9671,20260615,332081100,AA,AA,偏股型,162.843
128114.SZ,正邦转债,103.65,0.0114,27465400,28431465,0.0172057137548422,正邦科技,11.18,0.009,14.76,75.7453,0.3684,95.0876,2.1309,-0.2031,8.605,INF,110,INF,4.9726,20260617,1596295300,AA+,AA+,偏债型,140.49
128116.SZ,瑞达转债,101.8,0.0077,15297600,15566756,0.0235418607635962,瑞达期货,22.65,0.0395,29.55,76.6497,0.3281,92.7561,2.5719,-0.1733,9.085,INF,110,INF,5.0055,20260629,649804200,AA,AA,平衡型,134.61
128117.SZ,道恩转债,101.795,0.0025,5824400,5922193,0.0161823411216615,道恩股份,18.16,-0.0109,28.83,62.9899,0.6161,89.5954,4.0126,-0.2966,12.244,INF,118,INF,5.0137,20260702,359923200,AA-,AA-,偏债型,163.405
128118.SZ,瀛通转债,103.081,0.0007,6991900,7221902,0.0233178290230417,瀛通通讯,15.29,0.0007,21.12,72.3958,0.4239,88.732,3.523,-0.1837,14.394,INF,115,INF,5.0137,20260702,299852100,AA-,AA-,平衡型,145.471
128119.SZ,龙大转债,121.536,0.0188,12924000,15644131,0.0136588112649048,龙大肉食,10.4,0.0297,9.38,110.8742,0.0962,96.4493,-0.223,0.1501,25.135,INF,115,INF,5.0438,20260713,946202400,AA,AA,平衡型,131.156
128120.SZ,联诚转债,106.08,0.0018,5914000,6276717,0.0227473437072093,联诚精密,15.79,0.0019,18.44,85.6291,0.2388,70.3832,2.2528,0.2173,35.735,INF,112,INF,5.0548,20260717,259986400,A,A,偏股型,129.96
128121.SZ,宏川转债,109.949,0.0004,3514400,3842209,0.00524615144396049,宏川智慧,16.41,-0.0085,20.24,81.0771,0.3561,81.9796,0.6082,-0.0105,28.014,INF,108,INF,5.0548,20260717,669900600,AA-,AA-,平衡型,145.559
128122.SZ,兴森转债,117.77,0.0422,145539000,171074550,0.541419388631603,兴森科技,10.96,-0.0027,14.1,77.7305,0.5151,95.3607,-0.9573,-0.1842,22.493,INF,110,INF,4.0712,20250723,268810100,AA,AA,平衡型,169.28
128123.SZ,国光转债,103.152,0.0021,950000,979081,0.00296907938224397,国光股份,9.24,-0.0075,13.48,68.546,0.5049,83.9982,2.4281,-0.1835,19.2,INF,110,INF,5.0822,20260727,319964500,AA-,AA-,平衡型,153.642
128124.SZ,科华转债,105.118,0.0025,5412700,5666038,0.00733720976731229,科华生物,17.47,0.0104,21.51,81.218,0.2943,88.3031,0.967,-0.0798,16.859,INF,106,INF,5.0849,20260728,737705500,AA,AA,平衡型,134.548
128125.SZ,华阳转债,103.08,0.0027,1518000,1562994,0.00337426838059347,华阳国际,17.06,-0.0161,25.39,67.1918,0.5341,85.5226,2.8349,-0.2139,17.604,INF,113,INF,5.0904,20260730,449875300,AA-,AA-,偏债型,156.49
128127.SZ,文科转债,98.629,0.0019,12334500,12163184,0.0129858371256287,文科园林,4.39,-0.0023,4.88,89.959,0.0964,87.2486,4.1999,0.0317,11.431,INF,115,INF,5.1479,20260820,949842500,AA-,AA-,平衡型,108.269
128128.SZ,齐翔转2,144.981,0.0397,112847200,162915122,0.111440904932476,齐翔腾达,11.55,0.0303,7.97,144.9184,0.0004,92.0546,-4.4284,0.5751,52.974,INF,110,INF,5.1479,20260820,1012619200,AA,AA,偏股型,145.021
128129.SZ,青农转债,108.456,0.0113,19103000,20693953,0.00382074725159908,青农商行,4.38,0.021,4.47,97.9866,0.1068,93.0346,0.6695,0.0551,15.583,INF,108,INF,5.1616,20260825,4999807300,AAA,AAA,平衡型,119.136
128130.SZ,景兴转债,113.79,0.0099,15111500,17143720,0.0141882946264187,景兴纸业,3.77,0.0107,3.4,110.8824,0.0262,91.7519,0.2254,0.2091,22.086,INF,110,INF,5.1781,20260831,1065068100,AA,AA,偏股型,116.41
128131.SZ,崇达转2,103.499,0,2954400,3058291,0.00211036364700039,崇达技术,12.32,-0.0112,19.38,63.5707,0.6281,91.7698,2.1232,-0.3069,11.777,INF,110,INF,5.1973,20260907,1399948300,AA,AA,偏债型,166.309
128132.SZ,交建转债,96.769,0.0063,13339300,12887591,0.0157009617284865,新疆交建,10.81,-0.0009,18.57,58.2122,0.6623,93.3629,3.8335,-0.3762,3.455,INF,112,INF,5.2192,20260915,849584900,AA,AA,偏债型,162.999
128133.SZ,奇正转债,108.95,-0.0016,3733300,4060273,0.00466786957072429,奇正藏药,25.14,0.0088,30.12,83.4661,0.3053,93.2834,1.4477,-0.1048,15.716,INF,112,INF,5.2384,20260922,799786700,AA,AA,平衡型,139.48
128134.SZ,鸿路转债,138.61,0.018,61202800,83791220,0.0335554985844833,鸿路钢构,60.6,0.0216,43.51,139.2783,-0.0048,91.2517,-3.5132,0.5271,47.406,INF,110,INF,5.2849,20261009,1823927600,AA,AA,偏股型,138.13
