代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低
123060.SZ,苏试转债,133.009,0.0231,11546000,15197963,0.0372777733294418,苏试试验,23.01,0.03,18.28,125.8753,0.0567,85.0375,-2.4489,0.481,48.018,INF,112,INF,5.0658,20260721,309728800,AA-,AA-,偏股型,138.679
123061.SZ,航新转债,119.1,-0.0118,215520200,258788191,0.862995575309828,航新科技,16.2,-0.0182,14.86,109.0175,0.0925,81.695,0.9491,0.3351,37.447,INF,118,INF,5.0685,20260722,249735000,A+,A+,偏股型,128.35
123062.SZ,三超转债,116.5,-0.0209,68275000,80344023,0.350512510639871,三超新材,18.37,-0.0382,17.13,107.2388,0.0864,70.9428,0.5475,0.5124,45.596,INF,113,INF,5.0822,20260727,194786200,A,A,偏股型,125.14
123063.SZ,大禹转债,113.844,-0.004,71014700,81084335,0.111847929643,大禹节水,5.26,-0.0187,4.83,108.9027,0.0454,91.3762,2.1412,0.1925,22.518,INF,120,INF,5.0849,20260728,634921900,AA-,AA-,平衡型,118.384
123064.SZ,万孚转债,118.666,0.0077,1973200,2330939,0.00329622325848675,万孚生物,63.82,0.021,71.64,89.0843,0.3321,91.7408,-0.5978,-0.0284,26.973,INF,110,INF,5.1808,20260901,598624500,AA,AA,平衡型,151.876
123065.SZ,宝莱转债,109.003,-0.0266,42306000,46486290,0.193272600436104,宝莱特,19.45,-0.0231,40.54,47.9773,1.272,87.0686,2.1445,-0.4487,21.985,INF,115,INF,5.189,20260904,218892900,AA-,AA-,偏债型,236.203
123066.SZ,赛意转债,151.5,-0.027,247111300,374023426,1.00657523042024,赛意信息,21.11,-0.0465,14.01,150.6781,0.0055,78.2935,-4.2343,0.9255,73.246,INF,115,INF,5.2219,20260916,245497100,A+,A+,偏股型,152.05
123067.SZ,斯莱转债,152.29,0.0345,151898900,228798566,0.391544485343397,斯莱克,13.69,0.0015,9.38,145.9488,0.0434,86.7136,-4.3586,0.6841,65.627,INF,115,INF,5.2247,20260917,387948000,AA-,AA-,偏股型,156.63
123068.SZ,弘信转债,108.9,-0.0081,4586700,4973303,0.0080471781102439,弘信电子,16.52,-0.0137,18.45,89.5393,0.2162,86.226,2.0831,0.039,22.724,INF,115,INF,5.3014,20261015,569976200,AA-,AA-,平衡型,130.52
123069.SZ,金诺转债,115.403,-0.0135,152434500,177148641,0.414497550422521,川金诺,20.41,-0.0368,19.15,106.5796,0.0828,89.5501,1.7022,0.1909,25.905,INF,120,INF,5.3041,20261016,367757300,AA-,AA-,平衡型,123.683
123070.SZ,鹏辉转债,123.52,0.0042,14472400,17944262,0.0162651186010407,鹏辉能源,22.38,0.0018,20.06,111.5653,0.1072,91.1291,-1.3424,0.2249,32.439,INF,110,100.114,5.3151,20261020,889781400,AA,AA,偏股型,134.24
123071.SZ,天能转债,117.4,-0.0151,24656300,29042488,0.0352283736979727,天能重工,8.68,-0.043,7.73,112.2898,0.0455,86.0288,0.5969,0.306,31.421,INF,115,INF,5.3178,20261021,699898900,AA-,AA-,偏股型,121.95
123072.SZ,乐歌转债,128.599,-0.0019,14634800,18820461,0.103080700577992,乐歌股份,25.08,0.0064,56.12,44.69,1.8776,83.2072,0.1503,-0.4626,45.432,INF,120,INF,5.3178,20261021,141974200,A+,A+,偏债型,316.359
