代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低,pure_debt_prem,debt_rank,equity_rank,rank,自定义rank,,
128130.SZ,景兴转债,113.79,0.0099,15111500,17143720,0.014188295,景兴纸业,3.77,0.0107,3.4,110.8824,0.0262,91.7519,0.2254,0.2091,22.086,inf,110,inf,5.1781,20260831,1065068100,AA,AA,偏股型,116.41,0.240192301,193,66,259,193,,
128040.SZ,华通转债,108.03,-0.0016,10260000,11101761,0.046166016,浙农股份,9.49,-0.0021,10.15,93.4975,0.1554,99.2262,1.0242,0.0043,14.928,inf,108,inf,2.9644,20240614,222241400,AA,AA,平衡型,123.57,0.088724551,75,185,260,75,,
110047.SH,山鹰转债,117.68,0.0041,17183000,20233624,0.007649727,山鹰国际,3.52,0.0057,3.34,105.3892,0.1166,104.0662,-0.0458,0.0133,13.671,inf,113,100.17,3.4027,20241121,2246224000,AA+,AA+,平衡型,129.34,0.130818652,105,155,260,105,,
128057.SZ,博彦转债,123.88,0.0333,167020800,208821731,0.330280628,博彦科技,10.59,0.0475,8.5,124.5882,-0.0057,92.6115,-1.7256,0.3468,31.372,inf,112,100.443,3.6877,20250305,505693600,AA-,AA-,偏股型,123.31,0.337630856,253,9,262,253,,
113549.SH,白电转债,105.33,0.0052,7181000,7559862,0.008160793,白云电器,8.15,-0.0037,8.88,91.7793,0.1476,95.0873,2.0203,-0.0347,10.249,inf,110,inf,4.3863,20251115,879939000,AA,AA,平衡型,120.09,0.107718907,91,174,265,91,,
128075.SZ,远东转债,118.91,0.0048,4916100,5842376,0.009039479,远东传动,6.37,0.0047,5.54,114.9819,0.0342,96.0349,-0.8215,0.1993,23.034,inf,110,inf,4.2411,20250923,543847700,AA,AA,平衡型,122.33,0.238195698,192,75,267,192,,
110064.SH,建工转债,99.47,0.0047,14776000,14695997,0.008902116,重庆建工,3.54,-0.0084,4.57,77.4617,0.2841,101.395,4.34,-0.2358,-1.892,inf,113,inf,4.4822,20251220,1659830000,AA+,AA+,偏债型,127.88,-0.018985157,17,250,267,17,,
110072.SH,广汇转债,92.76,0.0028,60925000,56816610,0.018083781,广汇汽车,2.93,-0.0034,4.03,72.7047,0.2758,93.9243,4.2464,-0.2256,-1.122,inf,110,inf,5.1425,20260818,3369041000,AA+,AA+,偏债型,120.34,-0.012396153,18,249,267,18,,
113030.SH,东风转债,114.08,0.0097,15321000,17429916,0.051894605,东风股份,6.76,0.0181,6.45,104.8062,0.0885,96.3037,0.5552,0.0883,17.776,inf,112,inf,4.4932,20251224,295233000,AA,AA,平衡型,122.93,0.184585847,147,120,267,147,,
110080.SH,东湖转债,107.45,0.0154,32335000,34570246,0.02086129,东湖高新,6.12,0.0149,6.05,101.157,0.0622,88.8292,1.2145,0.139,18.639,inf,110,inf,5.7918,20270412,1550000000,AA,AA,平衡型,113.67,0.209624763,168,100,268,168,,
128018.SZ,时达转债,113,-0.0039,5866600,6648771,0.014469005,新时达,7.33,0,7.42,98.7871,0.1439,100.2153,-1.4225,-0.0142,12.794,inf,106,100.432,2.3616,20231106,405459800,AA,AA,平衡型,127.39,0.127572337,97,171,268,97,,
128093.SZ,百川转债,131.601,0.0125,215366200,282926058,0.566239966,百川股份,7.62,0.0146,5.77,132.0624,-0.0035,97.812,-0.3148,0.3503,33.798,inf,120,inf,4.5205,20260103,380344400,AA-,AA-,偏股型,131.251,0.345448411,256,13,269,256,,
