secID,tickerBond,tickerEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
113009.XSHG,113009,601238,2021-01-08,41.0558,25.49060093,116.0,14.23,12.62,16.406,0.020498,-0.001721,30.7987,104.282906,11.235873,,,,0.03561643835616438,,14.23,2021-01-21
123054.XSHE,123054,300608,2021-01-08,2.71,2.709779,97.9,16.49,12.58,16.354,-0.002039,-0.037478,28.3283,85.546928,14.440111,,,,0.41643835616438357,,16.49,2021-06-09
127006.XSHE,127006,000623,2021-01-08,24.13,24.073377,103.42,20.42,16.43,21.359,-0.00029,-0.007581,28.5353,96.193559,7.512396,,,,0.1726027397260274,,20.42,2021-03-12
128057.XSHE,128057,002649,2021-01-08,5.758152,5.096699,103.998,8.72,8.37,10.881,-0.018368,-0.071529,8.3467,89.835319,15.765159,,,,0.1506849315068493,,8.72,2021-03-04
110058.XSHG,110058,600105,2021-01-08,9.8,2.613574,95.23,5.04,3.21,4.173,-0.021174,-0.05432,49.52,95.611682,-0.3992,,,,0.26575342465753427,,5.04,2021-04-15
128035.XSHE,128035,002008,2021-01-08,23.0,22.996474,119.805,52.1,47.4,61.62,0.014437,0.060259,31.6843,96.544832,24.092608,,,,0.07671232876712329,,52.1,2021-02-05
110070.XSHG,110070,600231,2021-01-08,4.4,4.39911,99.12,2.75,2.42,3.146,-0.030706,-0.046373,12.6363,93.324443,6.210117,,,,0.25753424657534246,,2.75,2021-04-12
128063.XSHE,128063,002631,2021-01-08,6.3,6.298674,107.005,8.63,7.79,10.127,-0.010935,-0.028296,18.5434,98.037356,9.147171,,,,0.23013698630136986,,8.63,2021-04-02
128015.XSHE,128015,002279,2021-01-08,7.8,7.795676,96.49,9.48,4.24,5.512,0.003849,-0.011373,115.737,91.613354,5.323073,,,,0.410958904109589,,9.48,2021-06-07
128064.XSHE,128064,002538,2021-01-08,8.0,7.997911,107.433,6.07,5.8,7.54,-0.012655,-0.036916,12.4341,95.703913,12.255598,,,,0.24383561643835616,,6.07,2021-04-07
110043.XSHG,110043,600908,2021-01-08,30.0,29.987974,114.96,5.79,5.73,7.449,-0.000435,-0.011862,16.1637,97.620198,17.762514,,,,0.057534246575342465,,5.79,2021-01-29
113532.XSHG,113532,603817,2021-01-08,4.6,4.59958,97.2,7.69,5.74,7.462,0.001133,-0.023116,30.2209,94.112956,3.280148,,,,0.2273972602739726,,7.69,2021-04-01
110034.XSHG,110034,600998,2021-01-08,15.0,14.99158428,111.51,18.32,17.76,23.088,-0.009328,-0.025433,15.026,106.124114,5.075082,,,,0.01643835616438356,,18.32,2021-01-14
123007.XSHE,123007,300409,2021-01-08,4.8,3.03935,109.3,14.95,13.55,17.615,-0.024107,-0.064212,20.5929,91.770148,19.10191,,,,-0.03287671232876712,,14.95,2020-12-27
128033.XSHE,128033,002658,2021-01-08,5.2,5.19817,96.7,8.83,5.62,7.306,0.001035,-0.02174,51.9325,96.319986,0.394532,,,,-0.03561643835616438,,8.83,2020-12-26
113534.XSHG,113534,603876,2021-01-08,12.54,11.985317,104.46,15.18,14.37,18.681,-0.03233,-0.062887,10.3481,95.692382,9.162295,,,,0.2465753424657534,,15.18,2021-04-08
113576.XSHG,113576,603557,2021-01-08,5.2,2.663425,102.59,10.55,8.41,10.933,-0.001751,-0.041305,28.6949,86.597614,18.467467,,,,0.2493150684931507,,10.55,2021-04-09
