secID,tickerBond,tickerEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
128015.XSHE,128015,002279,2020-12-25,7.8,7.795676,95.101,9.48,4.49,5.837,0.010852,-0.027597,100.7923,91.245258,4.22569,,,,0.44931506849315067,,9.48,2021-06-07
113563.XSHG,113563,603368,2020-12-25,8.022,8.020047,108.19,24.47,21.78,28.314,-0.013855,-0.032376,21.5523,90.372316,19.715865,,,,0.057534246575342465,,24.47,2021-01-15
110053.XSHG,110053,600919,2020-12-25,200.0,199.994533,107.67,6.69,5.39,7.007,0.004384,-0.01193,33.6386,102.239058,5.312003,,,,0.2136986301369863,,6.69,2021-03-13
113588.XSHG,113588,603108,2020-12-25,5.5,5.499781,107.15,13.36,11.08,14.404,0.010658,-0.005199,29.1989,89.456303,19.779151,,,,0.473972602739726,,13.36,2021-06-16
128056.XSHE,128056,002863,2020-12-25,3.68,1.724165,105.998,6.7,5.47,7.111,0.00472,-0.051896,29.833,85.556319,23.892661,,,,0.17534246575342466,,6.7,2021-02-27
113011.XSHG,113011,601818,2020-12-25,300.0,241.98869316,123.03,3.76,3.87,5.031,-0.000731,-0.007022,19.533,100.709043,22.163806,,,,0.2219178082191781,,3.76,2021-03-16
123007.XSHE,123007,300409,2020-12-25,4.8,3.03936,109.099,14.95,14.81,19.253,0.021411,0.01997,10.1303,92.794528,17.57051,,,,0.005479452054794521,,14.95,2020-12-27
110051.XSHG,110051,600522,2020-12-25,39.6512,39.643023,118.37,10.09,10.66,13.858,-0.001434,0.008778,12.0406,96.328897,22.881091,,,,0.17534246575342466,,10.09,2021-02-27
127012.XSHE,127012,001965,2020-12-25,50.0,49.998473,103.707,8.81,6.96,9.048,-2.9e-05,-0.025301,31.2727,92.529602,12.079808,,,,0.2356164383561644,,8.81,2021-03-21
127016.XSHE,127016,000726,2020-12-25,14.0,13.999048,100.31,8.91,6.69,8.697,0.003602,-0.026117,33.5967,93.566894,7.206722,,,,0.28493150684931506,,8.91,2021-04-08
113024.XSHG,113024,601611,2020-12-25,29.9625,29.960463,100.85,9.76,7.2,9.36,0.000695,0.000595,36.7077,93.756613,7.565745,,,,0.2821917808219178,,9.76,2021-04-07
128035.XSHE,128035,002008,2020-12-25,23.0,22.996584,106.62,52.1,39.17,50.921,-0.010854,-0.025857,41.8152,95.831655,11.2576,,,,0.11506849315068493,,52.1,2021-02-05
123028.XSHE,123028,300437,2020-12-25,4.9,4.555117,101.3,11.84,10.02,13.026,0.026062,-0.025849,19.6998,91.749765,10.409003,,,,0.4794520547945205,,11.84,2021-06-18
110056.XSHG,110056,600487,2020-12-25,17.33,17.104315,106.23,15.01,13.76,17.888,0.005585,-0.001973,15.8802,96.864941,9.668161,,,,0.2273972602739726,,15.01,2021-03-18
110068.XSHG,110068,600388,2020-12-25,20.0,19.998911,103.04,10.73,8.93,11.609,0.010295,-0.042379,23.8095,92.741444,11.104589,,,,0.2410958904109589,,10.73,2021-03-23
128033.XSHE,128033,002658,2020-12-25,5.2,5.19818,97.535,8.83,6.37,8.281,0.009637,-0.011683,35.2015,97.059835,0.489559,,,,0.0027397260273972603,,8.83,2020-12-26
127017.XSHE,127017,000789,2020-12-25,10.0,9.997546,113.26,14.16,13.18,17.134,-0.001235,-0.053485,21.6814,94.746691,19.539795,,,,0.43561643835616437,,14.16,2021-06-02
127006.XSHE,127006,000623,2020-12-25,24.13,24.073377,105.0,20.42,16.36,21.268,0.009615,-0.004182,31.0574,95.464589,9.988427,,,,0.21095890410958903,,20.42,2021-03-12
113536.XSHG,113536,603578,2020-12-25,1.91565,1.48795,115.5,19.54,21.62,28.106,-0.007732,-0.006879,4.388,94.726317,21.930213,,,,0.4273972602739726,,19.54,2021-05-30
113568.XSHG,113568,603667,2020-12-25,3.3,3.29934,100.28,8.91,7.67,9.971,0.007738,-0.040383,16.4921,89.262785,12.342451,,,,0.1917808219178082,,8.91,2021-03-05
128096.XSHE,128096,002701,2020-12-25,10.868,7.077102,113.05,4.54,5.05,6.565,-0.015235,-0.097981,1.633,94.106231,20.130197,,,,0.12876712328767123,,4.54,2021-02-10
128066.XSHE,128066,002811,2020-12-25,4.8,4.798112,100.751,9.67,8.83,11.479,0.003926,-0.045946,10.3354,89.409467,12.684935,,,,0.30684931506849317,,9.67,2021-04-16
110057.XSHG,110057,600420,2020-12-25,16.1594,16.157171,110.82,9.89,9.61,12.493,0.000361,-0.013179,14.0488,94.775326,16.929168,,,,0.26301369863013696,,9.89,2021-03-31
123024.XSHE,123024,300700,2020-12-25,2.1,2.097615,101.507,24.9,18.38,23.894,0.040991,-0.009784,37.5149,86.922569,16.778647,,,,0.2328767123287671,,24.9,2021-03-20
123054.XSHE,123054,300608,2020-12-25,2.71,2.709909,100.916,16.49,13.7,17.81,0.011182,-0.044854,21.4675,85.541117,17.973676,,,,0.4547945205479452,,16.49,2021-06-09
123049.XSHE,123049,300190,2020-12-25,9.172387,9.170165,107.61,7.48,7.53,9.789,9.3e-05,-0.045173,6.8954,88.649564,21.388075,,,,0.2958904109589041,,7.48,2021-04-12
110070.XSHG,110070,600231,2020-12-25,4.4,4.39912,101.85,2.75,2.63,3.419,0.016569,-0.061031,6.4971,93.074544,9.428417,,,,0.2958904109589041,,2.75,2021-04-12
128101.XSHE,128101,002036,2020-12-25,3.0,2.999496,105.62,13.86,10.24,13.312,0.005713,-0.029959,42.9583,91.192758,15.820601,,,,0.2191780821917808,,13.86,2021-03-15
128107.XSHE,128107,002061,2020-12-25,25.0,24.999529,106.733,5.36,5.2,6.76,0.005019,-0.030581,10.017,92.725936,15.105875,,,,0.32054794520547947,,5.36,2021-04-21
128032.XSHE,128032,002472,2020-12-25,10.0,9.994883,96.383,9.89,6.95,9.035,0.001611,-0.031327,37.155,96.54978,-0.17274,,,,-0.0027397260273972603,,9.89,2020-12-24
113559.XSHG,113559,603901,2020-12-25,5.1217,5.119802,104.79,10.32,8.63,11.219,0.012268,-0.056711,25.3108,85.664901,22.325478,,,,-0.00821917808219178,,10.32,2020-12-22
113532.XSHG,113532,603817,2020-12-25,4.6,4.59958,99.17,7.69,5.96,7.748,0.009158,-0.025452,27.9559,93.84975,5.668902,,,,0.26575342465753427,,7.69,2021-04-01
110034.XSHG,110034,600998,2020-12-25,15.0,14.99158428,109.74,18.32,17.6,22.88,-0.002998,-0.005798,14.2293,105.821469,3.702964,,,,0.0547945205479452,,18.32,2021-01-14
113576.XSHG,113576,603557,2020-12-25,5.2,2.663455,104.85,10.55,8.76,11.388,-0.098297,0.028849,26.2748,86.584781,21.095184,,,,0.2876712328767123,,10.55,2021-04-09
113026.XSHG,113026,601985,2020-12-25,78.0,77.997632,103.64,6.08,5.05,6.565,0.00553,0.018175,24.7784,93.78824,10.50426,,,,0.3013698630136986,,6.08,2021-04-14
127013.XSHE,127013,000810,2020-12-25,10.4,9.779643,98.9,11.39,7.72,10.036,0.009184,-0.018849,45.9159,97.834171,1.089424,,,,0.3013698630136986,,11.39,2021-04-14
113012.XSHG,113012,601311,2020-12-25,7.17,5.095673,110.6,10.06,9.62,12.506,0.001993,0.000362,15.6586,98.612858,12.15576,,,,0.2410958904109589,,10.06,2021-03-23
128057.XSHE,128057,002649,2020-12-25,5.758152,5.096699,109.032,8.72,8.92,11.596,-0.008701,-0.093658,6.5873,89.749233,21.485161,,,,0.18904109589041096,,8.72,2021-03-04
113017.XSHG,113017,601929,2020-12-25,15.6,15.59054345,94.34,2.95,1.98,2.574,0.003617,-0.015959,40.557,97.929548,-3.665439,,,,0.0027397260273972603,,2.95,2020-12-26
110058.XSHG,110058,600105,2020-12-25,9.8,2.613894,92.71,5.04,3.18,4.134,0.008594,-0.040269,46.9366,95.34326,-2.761874,,,,0.3041095890410959,,5.04,2021-04-15
110033.XSHG,110033,600755,2020-12-25,28.0,12.116901,109.7,7.19,6.66,8.658,0.0055,-0.004176,18.4298,106.300399,3.198107,,,,0.0273972602739726,,7.19,2021-01-04
128064.XSHE,128064,002538,2020-12-25,8.0,7.997921,111.355,6.07,6.03,7.839,0.015549,0.003198,12.0936,95.435795,16.680539,,,,0.2821917808219178,,6.07,2021-04-07
113009.XSHG,113009,601238,2020-12-25,41.0558,25.49060093,117.01,14.23,13.28,17.264,0.008707,-0.002727,25.3804,104.013062,12.495487,,,,0.07397260273972603,,14.23,2021-01-21
113527.XSHG,113527,603518,2020-12-25,7.46,7.455521,81.96,9.85,5.22,6.786,-0.000366,-0.051279,54.6563,100.743356,-18.644759,,,,0.07945205479452055,,9.85,2021-01-23
113530.XSHG,113530,603081,2020-12-25,6.3,6.297785,98.06,16.64,11.5,14.95,0.001634,-0.039193,41.8885,101.150987,-3.055815,,,,0.2493150684931507,,16.64,2021-03-26
128093.XSHE,128093,002455,2020-12-25,5.2,5.19716,108.36,5.87,6.16,8.008,0.041833,-0.016251,3.2586,94.591423,14.555841,,,,0.021917808219178082,,5.87,2021-01-02
110052.XSHG,110052,600996,2020-12-25,16.0,15.265651,101.78,7.94,5.35,6.955,0.003748,-0.012803,51.0529,100.199278,1.577578,,,,0.18904109589041096,,7.94,2021-03-04
113573.XSHG,113573,603602,2020-12-25,2.7,2.6991,96.54,18.81,11.33,14.729,-0.016904,-0.057871,60.2751,79.698382,21.131694,,,,0.30684931506849317,,18.81,2021-04-16
113578.XSHG,113578,603030,2020-12-25,3.84,3.83939,102.35,5.43,4.91,6.383,0.008374,-0.04444,13.1895,93.344016,9.648164,,,,0.3150684931506849,,5.43,2021-04-19
113528.XSHG,113528,603897,2020-12-25,6.34,6.339094,98.72,23.45,17.19,22.347,0.006423,-0.018005,34.6703,90.24781,9.387696,,,,0.1780821917808219,,23.45,2021-02-28
128100.XSHE,128100,002503,2020-12-25,8.0,7.997747,88.569,2.9,2.32,3.016,0.004753,-0.04551,10.7112,93.009745,-4.774495,,,,0.20821917808219179,,2.9,2021-03-11
128037.XSHE,128037,002542,2020-12-25,6.0366,6.030519,94.287,7.99,3.0,3.9,-0.000117,-0.020903,151.1177,98.392634,-4.172704,,,,0.21643835616438356,,7.99,2021-03-14
113505.XSHG,113505,603618,2020-12-25,7.8,7.498655,97.6,7.14,5.96,7.748,0.005667,-0.021358,16.9234,98.494536,-0.908209,,,,0.1917808219178082,,7.14,2021-03-05
128114.XSHE,128114,002157,2020-12-25,16.0,15.993002,111.8,16.09,16.37,21.281,-0.006752,-0.017566,9.8877,92.133266,21.345965,,,,0.473972602739726,,16.09,2021-06-16
113584.XSHG,113584,603708,2020-12-25,6.45,6.449801,104.34,37.97,23.03,29.939,0.006948,-0.014172,72.0273,90.468757,15.332633,,,,0.4410958904109589,,37.97,2021-06-04
113534.XSHG,113534,603876,2020-12-25,12.54,11.985317,105.5,15.18,14.36,18.668,0.000664,-0.028277,11.5243,95.424226,10.558927,,,,0.28493150684931506,,15.18,2021-04-08
128063.XSHE,128063,002631,2020-12-25,6.3,6.298704,105.5,8.63,8.13,10.569,0.004762,-0.019972,11.9883,97.945177,7.713318,,,,0.2684931506849315,,8.63,2021-04-02
113030.XSHG,113030,601515,2020-12-25,2.95328,2.95282,103.76,6.75,5.72,7.436,0.007379,-0.036494,22.444,93.51811,10.951772,,,,-0.005479452054794521,,6.75,2020-12-23
127003.XSHE,127003,000861,2020-12-25,11.11,6.738225,106.5,3.0,2.87,3.731,0.013224,-0.014892,11.324,105.968304,0.50175,,,,0.44931506849315067,,3.0,2021-06-07
128039.XSHE,128039,002224,2020-12-25,6.2,2.025419,109.0,5.81,5.73,7.449,-0.004657,-0.031111,10.5218,89.013865,22.452834,,,,0.44931506849315067,,5.81,2021-06-07
123023.XSHE,123023,300335,2020-12-25,6.0,5.294475,101.24,7.04,6.34,8.242,0.031482,-0.017841,12.4179,95.655923,5.83767,,,,0.23013698630136986,,7.04,2021-03-19
128034.XSHE,128034,002807,2020-12-25,20.0,17.581344,105.7,4.5,4.05,5.265,0.004562,-0.021794,17.4444,96.945345,9.030506,,,,0.08493150684931507,,4.5,2021-01-25
128062.XSHE,128062,002370,2020-12-25,9.65,9.63963,67.918,16.25,3.83,4.979,0.010384,0.00174,188.1638,71.19307,-4.600266,,,,0.26575342465753427,,16.25,2021-04-01
113535.XSHG,113535,603278,2020-12-25,5.0,4.999223,95.4,12.4,8.53,11.089,0.005587,-0.0169,38.6822,98.370648,-3.019852,,,,0.36712328767123287,,12.4,2021-05-08
113569.XSHG,113569,603660,2020-12-25,5.16,5.158992,92.26,14.84,7.02,9.126,-0.007423,-0.018197,95.0339,86.196251,7.034817,,,,0.2,,14.84,2021-03-08
113033.XSHG,113033,601366,2020-12-25,18.0,17.999182,104.92,7.01,6.92,8.996,0.011862,-0.005686,6.2845,91.20436,15.03836,,,,0.26301369863013696,,7.01,2021-03-31
110043.XSHG,110043,600908,2020-12-25,30.0,29.987993,115.0,5.79,5.7,7.41,0.002179,-0.008706,16.8157,96.903981,18.674175,,,,0.0958904109589041,,5.79,2021-01-29
128014.XSHE,128014,002753,2020-12-25,3.4,3.370145,99.95,12.6,8.17,10.621,-0.010435,-0.023449,54.1456,97.11158,2.922844,,,,0.30684931506849317,,12.6,2021-04-16
113021.XSHG,113021,601998,2020-12-25,400.0,399.997001,105.15,6.98,5.07,6.591,0.002097,-0.003601,44.7627,102.077669,3.009797,,,,0.1863013698630137,,6.98,2021-03-03
128105.XSHE,128105,002616,2020-12-25,8.0,7.999231,107.396,8.11,7.66,9.958,0.002764,-0.045369,13.7051,91.113506,17.87056,,,,0.28493150684931506,,8.11,2021-04-08
113508.XSHG,113508,603225,2020-12-25,21.53,21.52167404,110.34,15.78,13.75,17.875,0.031987,0.02091,26.6301,97.91847,12.685584,,,,0.3315068493150685,,15.78,2021-04-25
128015.XSHE,128015,002279,2020-12-31,7.8,7.795676,97.725,9.48,4.64,6.032,0.008826,0.038744,99.6622,91.341445,6.988673,,,,0.4328767123287671,,9.48,2021-06-07
113563.XSHG,113563,603368,2020-12-31,8.022,8.020047,109.35,24.47,21.54,28.002,0.023302,-0.003281,24.2244,90.51746,20.805423,,,,0.0410958904109589,,24.47,2021-01-15
110053.XSHG,110053,600919,2020-12-31,200.0,199.994523,108.77,6.69,5.46,7.098,0.010874,0.014646,33.2731,102.598804,6.014881,,,,0.19726027397260273,,6.69,2021-03-13
113588.XSHG,113588,603108,2020-12-31,5.5,5.499702,107.46,13.36,11.18,14.534,0.004393,0.013582,28.4137,89.606486,19.924355,,,,0.4575342465753425,,13.36,2021-06-16
128056.XSHE,128056,002863,2020-12-31,3.68,1.724155,108.009,6.7,5.65,7.345,-0.000842,0.023782,28.0814,85.52193,26.293922,,,,0.1589041095890411,,6.7,2021-02-27
113011.XSHG,113011,601818,2020-12-31,300.0,241.98869316,124.83,3.76,3.99,5.187,0.006126,0.013889,17.6342,100.926453,23.684125,,,,0.2054794520547945,,3.76,2021-03-16
123007.XSHE,123007,300409,2020-12-31,4.8,3.03935,112.52,14.95,14.93,19.409,0.021062,0.05344,12.6707,91.759852,22.624435,,,,-0.010958904109589041,,14.95,2020-12-27
110051.XSHG,110051,600522,2020-12-31,39.6512,39.643023,119.64,10.09,10.84,14.092,0.001172,0.00928,11.3623,96.511277,23.964788,,,,0.1589041095890411,,10.09,2021-02-27
127012.XSHE,127012,001965,2020-12-31,50.0,49.998473,104.6,8.81,6.89,8.957,0.011605,0.008582,33.7483,92.862148,12.640082,,,,0.2191780821917808,,8.81,2021-03-21
127016.XSHE,127016,000726,2020-12-31,14.0,13.999038,99.0,8.91,6.67,8.671,0.003243,-0.009505,32.2473,93.806102,5.536845,,,,0.2684931506849315,,8.91,2021-04-08
113024.XSHG,113024,601611,2020-12-31,29.9625,29.960463,101.72,9.76,7.28,9.464,0.001871,0.009327,36.3718,94.094549,8.10403,,,,0.26575342465753427,,9.76,2021-04-07
128035.XSHE,128035,002008,2020-12-31,23.0,22.996474,110.05,52.1,42.75,55.575,0.012736,0.020967,34.1194,96.10158,14.514246,,,,0.09863013698630137,,52.1,2021-02-05
123028.XSHE,123028,300437,2020-12-31,4.9,4.555117,101.401,11.84,9.96,12.948,0.018798,0.027085,20.5409,91.661336,10.625706,,,,0.46301369863013697,,11.84,2021-06-18
110056.XSHG,110056,600487,2020-12-31,17.33,17.104315,108.41,15.01,13.99,18.187,0.005472,0.026221,16.314,97.049992,11.705316,,,,0.21095890410958903,,15.01,2021-03-18
110068.XSHG,110068,600388,2020-12-31,20.0,19.998911,103.1,10.73,8.88,11.544,0.001944,0.010883,24.5791,92.977346,10.887226,,,,0.22465753424657534,,10.73,2021-03-23
128033.XSHE,128033,002658,2020-12-31,5.2,5.19818,99.7,8.83,6.14,7.982,0.001004,0.032048,43.3796,96.157641,3.683908,,,,-0.0136986301369863,,8.83,2020-12-26
127017.XSHE,127017,000789,2020-12-31,10.0,9.997528,116.5,14.16,13.3,17.29,0.016597,0.027337,24.033,94.994023,22.639295,,,,0.4191780821917808,,14.16,2021-06-02
127006.XSHE,127006,000623,2020-12-31,24.13,24.073377,104.4,20.42,16.47,21.411,0.01016,0.003846,29.4382,95.740194,9.045111,,,,0.19452054794520549,,20.42,2021-03-12
113536.XSHG,113536,603578,2020-12-31,1.91565,1.48795,117.03,19.54,22.19,28.847,0.00914,0.005412,3.0539,94.841908,23.394819,,,,0.410958904109589,,19.54,2021-05-30
113568.XSHG,113568,603667,2020-12-31,3.3,3.29931,100.12,8.91,7.58,9.854,0.015725,0.00613,17.6872,89.178025,12.269811,,,,0.17534246575342466,,8.91,2021-03-05
128096.XSHE,128096,002701,2020-12-31,10.868,7.077102,116.306,4.54,4.94,6.422,0.003616,0.013127,6.8885,94.340659,23.283006,,,,0.11232876712328767,,4.54,2021-02-10
128066.XSHE,128066,002811,2020-12-31,4.8,4.798112,103.274,9.67,8.8,11.44,0.025052,0.029066,13.484,89.329766,15.60984,,,,0.29041095890410956,,9.67,2021-04-16
110057.XSHG,110057,600420,2020-12-31,16.1594,16.157171,110.67,9.89,9.51,12.363,0.01439,-0.000993,15.0921,95.115411,16.353384,,,,0.2465753424657534,,9.89,2021-03-31
123024.XSHE,123024,300700,2020-12-31,2.1,2.097615,107.5,24.9,20.8,27.04,0.004692,0.102451,28.6899,86.91602,23.682607,,,,0.21643835616438356,,24.9,2021-03-20
123054.XSHE,123054,300608,2020-12-31,2.71,2.709829,101.7,16.49,13.78,17.914,0.024179,0.019038,21.7005,85.450763,19.015906,,,,0.4383561643835616,,16.49,2021-06-09
123049.XSHE,123049,300190,2020-12-31,9.172387,9.170143,111.489,7.48,7.57,9.841,0.013629,0.036143,10.1635,88.561645,25.888583,,,,0.27945205479452057,,7.48,2021-04-12
110070.XSHG,110070,600231,2020-12-31,4.4,4.39912,100.81,2.75,2.51,3.263,0.012657,0.006188,10.4492,93.227711,8.133086,,,,0.27945205479452057,,2.75,2021-04-12
128101.XSHE,128101,002036,2020-12-31,3.0,2.999496,106.6,13.86,10.34,13.442,0.014176,0.015045,42.8893,91.341884,16.704402,,,,0.20273972602739726,,13.86,2021-03-15
128107.XSHE,128107,002061,2020-12-31,25.0,24.999529,108.202,5.36,5.19,6.747,0.011234,0.018851,11.7461,92.963983,16.391313,,,,0.3041095890410959,,5.36,2021-04-21
128032.XSHE,128032,002472,2020-12-31,10.0,9.994883,98.05,9.89,7.21,9.373,0.004456,0.008454,34.4957,96.647729,1.45091,,,,-0.019178082191780823,,9.89,2020-12-24
113559.XSHG,113559,603901,2020-12-31,5.1217,5.119802,106.02,10.32,8.73,11.349,0.020306,0.02415,25.3294,85.589922,23.869724,,,,-0.024657534246575342,,10.32,2020-12-22
113532.XSHG,113532,603817,2020-12-31,4.6,4.59958,99.24,7.69,6.0,7.8,0.000403,0.009871,27.1926,93.96248,5.616625,,,,0.2493150684931507,,7.69,2021-04-01
110034.XSHG,110034,600998,2020-12-31,15.0,14.99158428,118.01,18.32,18.16,23.608,0.060383,0.072136,19.0497,105.984634,11.346329,,,,0.038356164383561646,,18.32,2021-01-14
113576.XSHG,113576,603557,2020-12-31,5.2,2.663455,106.69,10.55,9.1,11.83,0.000469,-0.082473,23.69,86.499325,23.342002,,,,0.27123287671232876,,10.55,2021-04-09
113026.XSHG,113026,601985,2020-12-31,78.0,77.997632,103.7,6.08,4.92,6.396,0.011707,0.006112,28.1495,94.127302,10.169948,,,,0.28493150684931506,,6.08,2021-04-14
127013.XSHE,127013,000810,2020-12-31,10.4,9.779633,100.003,11.39,7.99,10.387,0.011142,0.020439,42.5574,97.952136,2.093741,,,,0.28493150684931506,,11.39,2021-04-14
113012.XSHG,113012,601311,2020-12-31,7.17,5.095673,111.02,10.06,9.35,12.155,0.003979,0.005798,19.4503,98.795782,12.373219,,,,0.22465753424657534,,10.06,2021-03-23
128057.XSHE,128057,002649,2020-12-31,5.758152,5.096699,111.724,8.72,9.01,11.713,0.020311,0.015774,8.128,89.67387,24.589248,,,,0.1726027397260274,,8.72,2021-03-04
113017.XSHG,113017,601929,2020-12-31,15.6,15.59054345,96.7,2.95,2.0,2.6,0.007292,0.028723,42.6325,97.195689,-0.509991,,,,-0.0136986301369863,,2.95,2020-12-26
110058.XSHG,110058,600105,2020-12-31,9.8,2.613674,102.15,5.04,3.74,4.862,-0.15193,0.111292,37.6566,95.458224,7.010162,,,,0.2876712328767123,,5.04,2021-04-15
110033.XSHG,110033,600755,2020-12-31,28.0,12.116901,109.25,7.19,6.68,8.684,0.004875,0.001375,17.5909,106.395289,2.683118,,,,0.010958904109589041,,7.19,2021-01-04
128064.XSHE,128064,002538,2020-12-31,8.0,7.997921,111.316,6.07,5.97,7.761,0.004838,0.015194,13.1805,95.550631,16.499492,,,,0.26575342465753427,,6.07,2021-04-07
113009.XSHG,113009,601238,2020-12-31,41.0558,25.49060093,117.84,14.23,13.29,17.277,0.013852,0.015862,26.1748,104.107833,13.19033,,,,0.057534246575342465,,14.23,2021-01-21
113527.XSHG,113527,603518,2020-12-31,7.46,7.455481,82.86,9.85,5.14,6.682,0.009257,0.010611,58.7881,100.862231,-17.848337,,,,0.06301369863013699,,9.85,2021-01-23
113530.XSHG,113530,603081,2020-12-31,6.3,6.297785,99.28,16.64,10.85,14.105,0.011101,0.014096,52.2598,101.272311,-1.967281,,,,0.2328767123287671,,16.64,2021-03-26
128093.XSHE,128093,002455,2020-12-31,5.2,5.19705,108.5,5.87,5.91,7.683,0.005011,0.043179,7.7656,94.510337,14.802257,,,,0.005479452054794521,,5.87,2021-01-02
110052.XSHG,110052,600996,2020-12-31,16.0,15.265651,101.68,7.94,5.46,7.098,0.001083,0.002761,47.8643,100.389115,1.285881,,,,0.1726027397260274,,7.94,2021-03-04
113573.XSHG,113573,603602,2020-12-31,2.7,2.6991,100.01,18.81,12.26,15.938,0.016465,0.018432,53.4411,79.654275,25.555094,,,,0.29041095890410956,,18.81,2021-04-16
113578.XSHG,113578,603030,2020-12-31,3.84,3.83938,103.51,5.43,4.92,6.396,0.01381,0.019803,14.2396,93.498118,10.708111,,,,0.29863013698630136,,5.43,2021-04-19
113528.XSHG,113528,603897,2020-12-31,6.34,6.339094,99.96,23.45,17.82,23.166,0.013793,0.019064,31.541,90.172888,10.853719,,,,0.16164383561643836,,23.45,2021-02-28
128100.XSHE,128100,002503,2020-12-31,8.0,7.997747,89.6,2.9,2.24,2.912,0.009577,0.016449,16.0,93.161547,-3.82298,,,,0.1917808219178082,,2.9,2021-03-11
128037.XSHE,128037,002542,2020-12-31,6.0366,6.030519,97.0,7.99,3.08,4.004,0.008002,0.028654,151.6331,98.494543,-1.517387,,,,0.2,,7.99,2021-03-14
113505.XSHG,113505,603618,2020-12-31,7.8,7.498655,99.26,7.14,5.65,7.345,0.010074,0.022772,25.4365,98.596287,0.673162,,,,0.17534246575342466,,7.14,2021-03-05
113584.XSHG,113584,603708,2020-12-31,6.45,6.449791,103.45,37.97,21.3,27.69,0.001646,-0.001641,84.4129,90.620054,14.157954,,,,0.4246575342465753,,37.97,2021-06-04
113534.XSHG,113534,603876,2020-12-31,12.54,11.985317,110.51,15.18,15.29,19.877,0.056804,0.048184,9.7149,95.539075,15.66995,,,,0.2684931506849315,,15.18,2021-04-08
128063.XSHE,128063,002631,2020-12-31,6.3,6.298704,106.636,8.63,7.46,9.698,0.006,0.015581,23.3604,97.860748,8.96708,,,,0.25205479452054796,,8.63,2021-04-02
113030.XSHG,113030,601515,2020-12-31,2.95328,2.95282,104.96,6.75,5.63,7.319,0.00739,0.019029,25.8401,93.667604,12.055819,,,,-0.021917808219178082,,6.75,2020-12-23
127003.XSHE,127003,000861,2020-12-31,11.11,6.738225,107.127,3.0,2.9,3.77,0.011586,0.019189,10.821,106.090602,0.976899,,,,0.4328767123287671,,3.0,2021-06-07
128039.XSHE,128039,002224,2020-12-31,6.2,2.025419,109.995,5.81,5.79,7.527,0.012845,0.004429,10.3749,88.961915,23.642797,,,,0.4328767123287671,,5.81,2021-06-07
