secID,tickerBond,tickerEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
128069.XSHE,128069,002907,2020-01-03,3.0,2.999919,107.25,18.08,16.57,21.541,-1.9e-05,0.014405000000000001,17.0235,98.100251,9.326937,106.55901411669912,1.006484537127419,8.458763116699123,4.473972602739726,0.4440355737550765,18.08,2024-06-23
113014.XSHG,113014,601222,2020-01-03,30.0,29.998820000000002,102.56,8.59,4.91,6.382999999999999,0.0017579999999999998,0.024575,79.4277,94.80008000000001,8.185563,95.40647917340175,1.0749794027468165,0.6063991734017343,2.813698630136986,0.33900036395260696,8.59,2022-10-26
128032.XSHE,128032,002472,2020-01-03,10.0,9.998406,103.0,9.93,5.62,7.306,0.006843000000000001,0.037783,81.9911,94.18363199999999,9.360828999999999,95.02493450569611,1.0839260298971933,0.8413025056961199,2.9753424657534246,0.3430472401871206,9.93,2022-12-24
110045.XSHG,110045,600398,2020-01-03,30.0,29.49769006,104.07,12.02,8.04,10.452,0.013340000000000001,0.033466,55.5872,94.6804,9.917152999999999,96.02263275184353,1.0838069840154634,1.3422327518435258,3.5232876712328767,0.24019424214580998,12.02,2023-07-12
113027.XSHG,113027,601020,2020-01-03,6.4,6.39995,107.14,10.17,9.16,11.908,-0.0068590000000000005,0.014294999999999999,18.9534,93.122127,15.053213000000001,97.22375273260508,1.1019940805480697,4.101625732605065,4.446575342465754,0.3868463323336542,10.17,2024-06-13
113528.XSHG,113528,603897,2020-01-03,6.34,6.339601999999999,102.6,24.03,19.7,25.61,0.000195,0.009445,25.1511,96.812867,5.9776489999999995,103.55872428539061,0.9907422161483128,6.745857285390612,4.158904109589041,0.32272543903448325,24.03,2024-02-29
113021.XSHG,113021,601998,2020-01-03,400.0,399.99894,114.31,7.22,6.2,8.06,-0.000175,0.020352000000000002,33.1158,100.40191300000001,13.852413,102.26075544136451,1.1178286284570276,1.858842441364496,4.167123287671233,0.21111310229353367,7.22,2024-03-03
110058.XSHG,110058,600105,2020-01-03,9.8,9.797682,107.89,5.1,4.72,6.136,0.008318,0.045344,16.576,93.817954,14.999310000000001,96.32065840365482,1.1201127752663513,2.5027044036548216,4.284931506849315,0.5115677770931237,5.1,2024-04-15
110053.XSHG,110053,600919,2020-01-03,200.0,199.996221,119.01,7.56,7.24,9.412,0.000336,0.02586,24.2701,100.466951,18.456865,102.88553880821902,1.1567223283131882,2.4185878082190366,4.1945205479452055,0.18955996792572,7.56,2024-03-13
123004.XSHE,123004,300197,2020-01-03,11.0,8.332025999999999,103.001,3.98,3.18,4.1339999999999995,0.007197,0.024682,28.9132,93.838302,9.764348,94.79494261896191,1.0865664048558286,0.9566406189619149,2.956164383561644,0.42978823999732707,3.98,2022-12-17
128042.XSHE,128042,002823,2020-01-03,4.16,4.158786,104.6,13.01,9.47,12.311,0.005769,0.036619,43.7007,98.095125,6.631191,100.90849111612867,1.0365827379147214,2.8133661161286754,3.56986301369863,0.34760477994411987,13.01,2023-07-29
