secID,tickerBond,tickerEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
128106.XSHE,128106,002840,2021-06-04,5.5,5.35203,113.101,9.4,9.9,12.87,0.000371,0.00178,7.3888,91.611767,23.456848,,,,-0.15342465753424658,,9.4,2021-04-09
127012.XSHE,127012,001965,2021-06-04,50.0,49.998387,110.47,8.81,7.79,10.127,0.008683,0.004328,24.9346,94.82022,16.504686,,,,-0.2054794520547945,,8.81,2021-03-21
128063.XSHE,128063,002631,2021-06-04,6.3,6.298474,103.46,8.6,6.09,7.917,0.001219,0.005325,46.1011,100.686671,2.754415,,,,-0.1726027397260274,,8.6,2021-04-02
123054.XSHE,123054,300608,2021-06-04,2.71,2.709659,102.973,12.63,9.83,12.779,-0.000107,-0.014141,32.304,88.617532,16.199354,,,,0.0136986301369863,,12.63,2021-06-09
127016.XSHE,127016,000726,2021-06-04,14.0,13.998816,100.375,8.91,6.29,8.177,-0.003524,0.00374,42.1846,96.536024,3.976729,,,,-0.15616438356164383,,8.91,2021-04-08
113026.XSHG,113026,601985,2021-06-04,78.0,77.997453,108.16,5.86,5.16,6.708,0.001853,0.000648,22.8328,95.922394,12.75782,,,,-0.13972602739726028,,5.86,2021-04-14
128056.XSHE,128056,002863,2021-06-04,3.68,1.722865,108.1,6.7,5.2,6.76,0.000463,-0.001459,39.2826,88.431955,22.24088,,,,-0.26575342465753427,,6.7,2021-02-27
113573.XSHG,113573,603602,2021-06-04,2.7,2.69843,100.85,18.78,10.63,13.819,0.004983,-0.001386,78.1714,82.655531,22.012403,,,,-0.13424657534246576,,18.78,2021-04-16
113584.XSHG,113584,603708,2021-06-04,6.45,6.449621,99.43,37.97,19.38,25.194,-0.005402,-0.006396,94.8068,93.001595,6.912145,,,,0.0,,37.97,2021-06-04
123028.XSHE,123028,300437,2021-06-04,4.9,4.551047,100.089,11.84,8.77,11.401,-0.002998,-0.007132,35.1258,95.013844,5.341491,,,,0.038356164383561646,,11.84,2021-06-18
113011.XSHG,113011,601818,2021-06-04,300.0,241.98847356,117.93,3.76,3.8,4.94,-0.000593,-0.00632,16.6886,101.16648,16.570231,,,,-0.2191780821917808,,3.76,2021-03-16
113563.XSHG,113563,603368,2021-06-04,8.022,8.019968,108.8,24.47,20.83,27.079,-0.008837,-0.010369,27.8125,92.542768,17.567263,,,,-0.3835616438356164,,24.47,2021-01-15
113024.XSHG,113024,601611,2021-06-04,29.9625,29.960333,103.35,9.76,7.2,9.36,0.001939,0.00029,40.0966,95.985756,7.672226,,,,-0.1589041095890411,,9.76,2021-04-07
128105.XSHE,128105,002616,2021-06-04,8.0,7.995531,108.003,7.91,7.92,10.296,-0.083944,0.070885,7.8666,93.23907,15.834489,,,,-0.15616438356164383,,7.91,2021-04-08
127013.XSHE,127013,000810,2021-06-04,10.4,9.779312,104.4,11.39,8.57,11.141,0.003846,0.020518,38.7533,99.86912,4.536817,,,,-0.13972602739726028,,11.39,2021-04-14
123023.XSHE,123023,300335,2021-06-04,6.0,5.294295,100.401,7.04,5.09,6.617,-0.008865,0.014561,38.865,97.616679,2.8523,,,,-0.21095890410958903,,7.04,2021-03-19
123049.XSHE,123049,300190,2021-06-04,9.172387,9.169965,109.38,7.38,6.77,8.801,0.004638,0.015401,19.2355,91.314727,19.783526,,,,-0.14520547945205478,,7.38,2021-04-12
123007.XSHE,123007,300409,2021-06-04,4.8,3.039252,113.549,14.5,14.61,18.993,0.02519,0.048952,12.694,94.699821,19.904133,,,,-0.43561643835616437,,14.5,2020-12-27
110034.XSHG,110034,600998,2021-06-04,15.0,14.99155442,109.58,18.32,16.9,21.97,-0.000274,-0.003728,18.7873,106.176562,3.205451,,,,-0.3863013698630137,,18.32,2021-01-14
113578.XSHG,113578,603030,2021-06-04,3.84,3.83931,101.33,5.43,4.36,5.668,-0.002559,0.010269,26.1976,95.536929,6.063698,,,,-0.12602739726027398,,5.43,2021-04-19
128093.XSHE,128093,002455,2021-06-04,5.2,3.998782,121.95,5.77,6.81,8.853,0.019649,0.019564,3.3262,97.41907,25.18083,,,,-0.4191780821917808,,5.77,2021-01-02
127015.XSHE,127015,000876,2021-06-04,40.0,9.45024,107.0,19.75,15.02,19.526,-0.012004,-0.008433,40.6957,93.515273,14.419812,,,,-0.4191780821917808,,19.75,2021-01-02
128014.XSHE,128014,002753,2021-06-04,3.4,3.370145,104.321,12.52,8.85,11.505,0.005087,0.004922,47.5817,98.691291,5.704363,,,,-0.13424657534246576,,12.52,2021-04-16
128039.XSHE,128039,002224,2021-06-04,6.2,2.025419,105.25,5.81,4.8,6.24,0.000856,0.001427,27.3963,91.889078,14.540272,,,,0.00821917808219178,,5.81,2021-06-07
128100.XSHE,128100,002503,2021-06-04,8.0,7.993783,84.266,2.9,1.65,2.145,-0.01211,-0.036674,48.1038,95.175536,-11.462542,,,,-0.2328767123287671,,2.9,2021-03-11
127005.XSHE,127005,000783,2021-06-04,50.0,49.965281,122.2,7.28,7.62,9.906,0.001639,-0.004075,16.7475,99.072197,23.344394,,,,-0.2328767123287671,,7.28,2021-03-11
128034.XSHE,128034,002807,2021-06-04,20.0,17.581274,106.64,4.32,4.04,5.252,0.002425,-0.007926,14.0308,98.723034,8.019371,,,,-0.3561643835616438,,4.32,2021-01-25
128035.XSHE,128035,002008,2021-06-04,23.0,22.996307,113.173,51.9,38.61,50.193,0.001531,0.015369,52.1284,97.795615,15.724002,,,,-0.32602739726027397,,51.9,2021-02-05
128037.XSHE,128037,002542,2021-06-04,6.0366,6.028486,99.459,7.99,3.04,3.952,0.002864,0.001601,161.407,99.904808,-0.446233,,,,-0.22465753424657534,,7.99,2021-03-14
110070.XSHG,110070,600231,2021-06-04,4.4,2.171351,114.99,2.75,2.87,3.731,-0.011519,-0.017347,10.182,95.255166,20.717862,,,,-0.14520547945205478,,2.75,2021-04-12
113536.XSHG,113536,603578,2021-06-04,1.91565,1.487921,116.83,13.76,14.95,19.435,0.001371,-0.01301,7.5304,96.804051,20.687098,,,,-0.0136986301369863,,13.76,2021-05-30
127006.XSHE,127006,000623,2021-06-04,24.13,24.072707,102.551,20.42,15.59,20.267,0.000507,-0.004746,34.3227,97.454951,5.229133,,,,-0.23013698630136986,,20.42,2021-03-12
110053.XSHG,110053,600919,2021-06-04,200.0,199.994184,125.45,6.69,7.92,10.296,0.0036,0.009983,5.9672,104.264811,20.318637,,,,-0.2273972602739726,,6.69,2021-03-13
110056.XSHG,110056,600487,2021-06-04,17.33,17.104036,105.82,15.01,12.04,15.652,0.003985,0.002938,31.9234,99.648528,6.193239,,,,-0.2136986301369863,,15.01,2021-03-18
128114.XSHE,128114,002157,2021-06-04,16.0,15.963053,105.112,15.46,13.0,16.9,-0.001055,-0.010664,25.0024,95.412718,10.165607,,,,0.03287671232876712,,15.46,2021-06-16
113505.XSHG,113505,603618,2021-06-11,7.8,7.498365,105.72,7.08,6.56,8.528,0.005325,0.016636,14.1002,99.984174,5.736734,,,,-0.2684931506849315,,7.08,2021-03-05
110033.XSHG,110033,600755,2021-06-11,28.0,12.046923,114.35,7.18,8.21,10.673,0.0208,0.016535,0.004,106.341844,7.530579,,,,-0.4328767123287671,,7.18,2021-01-04
127003.XSHE,127003,000861,2021-06-11,11.11,6.738179,104.96,3.0,2.12,2.756,-1e-05,-0.01409,48.5283,106.342656,-1.30019,,,,-0.010958904109589041,,3.0,2021-06-07
128064.XSHE,128064,002538,2021-06-11,8.0,7.994006,119.499,5.82,6.94,9.022,-0.009129,0.04641,0.2138,97.354991,22.745633,,,,-0.1780821917808219,,5.82,2021-04-07
113530.XSHG,113530,603081,2021-06-11,6.3,6.297765,103.23,16.49,11.36,14.768,0.001552,0.002428,49.847,103.215138,0.014399,,,,-0.21095890410958903,,16.49,2021-03-26
113030.XSHG,113030,601515,2021-06-11,2.95328,2.95234,111.76,6.45,6.43,8.359,-0.004809,-0.032716,12.1076,96.062805,16.340555,,,,-0.4657534246575342,,6.45,2020-12-23
110051.XSHG,110051,600522,2021-06-11,39.6512,39.642303,117.12,9.99,9.93,12.909,-0.016872,-0.033424,17.8276,98.92102,18.397485,,,,-0.28493150684931506,,9.99,2021-02-27
113021.XSHG,113021,601998,2021-06-11,400.0,399.996882,105.93,6.98,5.24,6.812,9.4e-05,0.0,41.1052,104.006241,1.849657,,,,-0.273972602739726,,6.98,2021-03-03
110067.XSHG,110067,600909,2021-06-11,28.0,27.995565,110.55,6.22,5.79,7.527,-0.012946,0.005,18.7601,93.081682,18.766654,,,,-0.25205479452054796,,6.22,2021-03-11
128107.XSHE,128107,002061,2021-06-11,25.0,24.996917,110.415,5.36,5.54,7.202,0.004065,9.1e-05,6.8275,95.553948,15.552525,,,,-0.13972602739726028,,5.36,2021-04-21
127017.XSHE,127017,000789,2021-06-11,10.0,9.996436,113.854,13.46,12.17,15.821,-0.00651,-0.0185,25.9223,97.683853,16.553551,,,,-0.024657534246575342,,13.46,2021-06-02
123024.XSHE,123024,300700,2021-06-11,2.1,2.09693,108.23,14.1,13.05,16.965,0.010438,0.012792,16.9381,89.972874,20.291812,,,,-0.2273972602739726,,14.1,2021-03-20
113588.XSHG,113588,603108,2021-06-11,5.5,5.499573,107.1,13.36,11.38,14.794,-0.0195,-0.008425,25.7342,91.946901,16.480271,,,,0.0136986301369863,,13.36,2021-06-16
110058.XSHG,110058,600105,2021-06-11,9.8,2.612234,104.87,5.04,4.02,5.226,-0.018439,0.025122,31.4788,97.263872,7.820096,,,,-0.15616438356164383,,5.04,2021-04-15
113535.XSHG,113535,603278,2021-06-11,5.0,4.996604,99.81,12.4,8.44,10.972,-0.000401,-0.001201,46.6402,100.309209,-0.49767,,,,-0.09315068493150686,,12.4,2021-05-08
128066.XSHE,128066,002811,2021-06-11,4.8,4.797726,104.1,9.67,8.73,11.349,0.008731,0.010954,15.3089,91.753102,13.456654,,,,-0.15342465753424658,,9.67,2021-04-16
113009.XSHG,113009,601238,2021-06-11,41.0558,25.48981127,108.27,13.97,12.03,15.639,0.009981,-0.000462,25.73,104.240649,3.865432,,,,-0.3863013698630137,,13.97,2021-01-21
113528.XSHG,113528,603897,2021-06-11,6.34,6.338926,112.8,23.35,22.28,28.964,0.033251,0.046771,18.2172,92.598918,21.815678,,,,-0.2821917808219178,,23.35,2021-02-28
110043.XSHG,110043,600908,2021-06-11,30.0,29.213822,114.58,5.79,5.9,7.67,-0.02152,-0.037951,12.4437,98.587756,16.221329,,,,-0.3643835616438356,,5.79,2021-01-29
110052.XSHG,110052,600996,2021-06-11,16.0,15.265641,99.53,7.94,4.64,6.032,-0.001905,-0.004202,70.3164,102.719931,-3.105465,,,,-0.27123287671232876,,7.94,2021-03-04
128015.XSHE,128015,002279,2021-06-11,7.8,7.795406,102.43,6.97,5.85,7.605,0.001173,0.00975,22.0405,93.819451,9.177786,,,,-0.010958904109589041,,6.97,2021-06-07
123053.XSHE,123053,300031,2021-06-11,5.0,4.999334,107.301,20.8,16.68,21.684,-0.029161,-0.01739,33.8046,87.887016,22.089707,,,,-0.019178082191780823,,20.8,2021-06-04
123044.XSHE,123044,300427,2021-06-11,5.85,5.494049,106.52,18.67,13.75,17.875,0.006758,0.026214,44.6347,92.430917,15.242825,,,,-0.25205479452054796,,18.67,2021-03-11
110057.XSHG,110057,600420,2021-06-11,16.1594,16.156921,113.31,9.89,10.06,13.078,-0.003079,-0.030046,11.3952,96.842971,17.003846,,,,-0.19726027397260273,,9.89,2021-03-31
123048.XSHE,123048,300527,2021-06-11,8.189312,3.796326,114.531,8.9,9.22,11.986,-0.007272,0.008107,10.5559,93.919166,21.946355,,,,-0.1726027397260274,,8.9,2021-04-09
113017.XSHG,113017,601929,2021-06-11,15.6,15.59039359,97.79,2.95,1.93,2.509,0.002049,0.008352,49.4717,99.402622,-1.622314,,,,-0.4575342465753425,,2.95,2020-12-26
110068.XSHG,110068,600388,2021-06-11,20.0,19.998642,100.91,10.73,8.7,11.31,0.007287,0.00508,24.4556,95.750673,5.388293,,,,-0.2191780821917808,,10.73,2021-03-23
113033.XSHG,113033,601366,2021-06-11,18.0,17.998863,99.96,7.01,6.21,8.073,0.0,-0.0001,12.8372,93.313308,7.122985,,,,-0.19726027397260273,,7.01,2021-03-31
113569.XSHG,113569,603660,2021-06-11,5.16,5.158693,97.73,14.8,7.09,9.217,0.003388,0.010861,104.0062,88.887055,9.948518,,,,-0.2602739726027397,,14.8,2021-03-08
113532.XSHG,113532,603817,2021-06-11,4.6,4.58713,100.55,7.63,5.81,7.553,-9.9e-05,0.000996,32.0475,95.723888,5.041701,,,,-0.19452054794520549,,7.63,2021-04-01
128106.XSHE,128106,002840,2021-06-11,5.5,5.35203,111.135,9.4,9.61,12.493,-0.006836,-0.017383,8.7064,91.596027,21.331682,,,,-0.1726027397260274,,9.4,2021-04-09
127012.XSHE,127012,001965,2021-06-11,50.0,49.998387,109.999,8.81,7.89,10.257,0.000564,-0.004264,22.8252,94.739304,16.107038,,,,-0.22465753424657534,,8.81,2021-03-21
113012.XSHG,113012,601311,2021-06-11,7.17,5.094013,121.71,10.06,11.09,14.417,-0.006368,-0.053062,10.406,99.847159,21.896308,,,,-0.2191780821917808,,10.06,2021-03-23
