trade_date,sec_id,shares,price,value
2021-01-08,110033.XSHG,39,104.95,40930.5
2021-01-08,110034.XSHG,39,94.099,36698.61
2021-01-08,110056.XSHG,39,111.51,43488.9
2021-01-08,110070.XSHG,39,99.12,38656.8
2021-01-08,113033.XSHG,39,108.18,42190.200000000004
2021-01-08,113505.XSHG,39,104.46,40739.399999999994
2021-01-08,113532.XSHG,39,98.29,38333.100000000006
2021-01-08,113534.XSHG,39,96.35,37576.5
2021-01-08,113536.XSHG,39,99.96,38984.399999999994
2021-01-08,113568.XSHG,39,96.845,37769.55
2021-01-08,113578.XSHG,39,103.6,40404.0
2021-01-08,123023.XSHE,39,110.26,43001.4
2021-01-08,123028.XSHE,39,95.8,37362.0
2021-01-08,127003.XSHE,39,103.998,40559.22
2021-01-08,128057.XSHE,39,107.433,41898.87000000001
2021-01-08,128064.XSHE,39,97.2,37908.0
2021-01-08,128066.XSHE,39,107.1,41769.0
2021-01-08,128093.XSHE,39,106.56,41558.4
2021-01-08,128100.XSHE,39,96.43,37607.700000000004
2021-01-08,128107.XSHE,39,105.909,41304.51
2021-01-15,110033.XSHG,39,101.61,39627.9
2021-01-15,110034.XSHG,39,90.46,35279.399999999994
2021-01-15,110056.XSHG,39,97.77,38130.299999999996
2021-01-15,110070.XSHG,39,95.8,37362.0
2021-01-15,113033.XSHG,39,96.28,37549.2
2021-01-15,113505.XSHG,39,99.33,38738.7
2021-01-15,113534.XSHG,39,102.3,39897.0
2021-01-15,113536.XSHG,39,108.44,42291.6
2021-01-15,113568.XSHG,39,100.703,39274.17
2021-01-15,113578.XSHG,39,101.9,39741.0
2021-01-15,123023.XSHE,39,112.65,43933.5
2021-01-15,123028.XSHE,39,95.807,37364.729999999996
2021-01-15,127003.XSHE,39,93.1,36309.0
2021-01-15,128034.XSHE,39,96.258,37540.619999999995
2021-01-15,128063.XSHE,39,95.12,37096.8
2021-01-15,128066.XSHE,39,108.006,42122.340000000004
2021-01-15,128093.XSHE,39,105.716,41229.24
2021-01-15,128100.XSHE,39,111.21,43371.899999999994
2021-01-15,128105.XSHE,39,99.494,38802.66
2021-01-15,128107.XSHE,39,108.35,42256.5
2021-01-22,110033.XSHG,39,91.413,35651.07
2021-01-22,110034.XSHG,39,97.52,38032.799999999996
2021-01-22,110070.XSHG,39,103.1,40209.0
2021-01-22,113033.XSHG,39,94.65,36913.5
2021-01-22,113505.XSHG,39,96.34,37572.600000000006
2021-01-22,113530.XSHG,39,101.9,39741.0
2021-01-22,113534.XSHG,39,95.333,37179.87
2021-01-22,113536.XSHG,39,115.74,45138.6
2021-01-22,113578.XSHG,39,99.697,38881.83
2021-01-22,123023.XSHE,39,93.6,36504.0
2021-01-22,123028.XSHE,39,107.378,41877.42
2021-01-22,127003.XSHE,39,108.41,42279.899999999994
2021-01-22,128034.XSHE,39,100.8,39312.0
2021-01-22,128039.XSHE,39,101.998,39779.22
2021-01-22,128040.XSHE,39,101.108,39432.12
2021-01-22,128063.XSHE,39,95.3,37167.0
2021-01-22,128066.XSHE,39,114.06,44483.4
2021-01-22,128093.XSHE,39,97.2,37908.0
2021-01-22,128100.XSHE,39,104.391,40712.490000000005
2021-01-22,128105.XSHE,39,107.7,42003.0
2021-01-29,110033.XSHG,41,100.72,41295.2
2021-01-29,110056.XSHG,41,92.15,37781.5
2021-01-29,110070.XSHG,41,86.7,35547.0
2021-01-29,113033.XSHG,41,92.8,38048.0
2021-01-29,113505.XSHG,41,90.51,37109.100000000006
2021-01-29,113532.XSHG,41,99.79,40913.9
2021-01-29,113534.XSHG,41,93.78,38449.8
2021-01-29,113568.XSHG,41,82.0,33620.0
2021-01-29,113578.XSHG,41,99.5,40795.0
2021-01-29,123023.XSHE,41,97.451,39954.909999999996
2021-01-29,123028.XSHE,41,101.112,41455.92
2021-01-29,127003.XSHE,41,92.18,37793.8
2021-01-29,128034.XSHE,41,100.56,41229.6
2021-01-29,128063.XSHE,41,88.31,36207.1
2021-01-29,128064.XSHE,41,94.6,38786.0
2021-01-29,128066.XSHE,41,93.96,38523.6
2021-01-29,128093.XSHE,41,100.25,41102.5
2021-01-29,128100.XSHE,41,105.0,43050.0
2021-01-29,128105.XSHE,41,103.011,42234.51
2021-01-29,128107.XSHE,41,106.98,43861.8
2021-02-05,110056.XSHG,43,84.97,36537.1
2021-02-05,110070.XSHG,43,89.7,38571.0
2021-02-05,113030.XSHG,43,93.99,40415.7
2021-02-05,113033.XSHG,43,91.43,39314.9
2021-02-05,113505.XSHG,43,86.8,37324.0
2021-02-05,113530.XSHG,43,97.5,41925.0
2021-02-05,113534.XSHG,43,89.49,38480.7
2021-02-05,113536.XSHG,43,75.3,32379.0
2021-02-05,113568.XSHG,43,96.53,41507.9
2021-02-05,113578.XSHG,43,96.81,41628.3
2021-02-05,123023.XSHE,43,89.37,38429.100000000006
2021-02-05,123028.XSHE,43,98.9,42527.0
2021-02-05,123044.XSHE,43,95.73,41163.9
2021-02-05,123049.XSHE,43,89.0,38270.0
2021-02-05,128064.XSHE,43,100.91,43391.3
2021-02-05,128066.XSHE,43,91.0,39130.0
2021-02-05,128093.XSHE,43,81.2,34916.0
2021-02-05,128100.XSHE,43,95.334,40993.62
2021-02-05,128105.XSHE,43,101.5,43645.0
2021-02-05,128107.XSHE,43,85.83,36906.9
2021-02-10,110033.XSHG,42,88.36,37111.2
2021-02-10,110034.XSHG,42,96.5,40530.0
2021-02-10,110058.XSHG,42,94.31,39610.2
2021-02-10,110070.XSHG,42,89.96,37783.2
2021-02-10,113033.XSHG,42,98.52,41378.4
2021-02-10,113505.XSHG,42,73.133,30715.859999999997
2021-02-10,113528.XSHG,42,91.22,38312.399999999994
2021-02-10,113530.XSHG,42,96.71,40618.2
2021-02-10,113534.XSHG,42,88.01,36964.2
2021-02-10,113536.XSHG,42,93.5,39270.0
2021-02-10,113568.XSHG,42,101.412,42593.04
2021-02-10,113578.XSHG,42,106.63,44784.6
2021-02-10,123023.XSHE,42,91.59,38467.8
2021-02-10,127003.XSHE,42,103.855,43619.1
2021-02-10,128064.XSHE,42,109.76,46099.2
2021-02-10,128066.XSHE,42,90.07,37829.399999999994
2021-02-10,128093.XSHE,42,100.5,42210.0
2021-02-10,128100.XSHE,42,105.26,44209.2
2021-02-10,128105.XSHE,42,87.01,36544.2
2021-02-10,128107.XSHE,42,86.13,36174.6
2021-02-19,110033.XSHG,40,93.25,37300.0
2021-02-19,110034.XSHG,40,98.61,39444.0
2021-02-19,110070.XSHG,40,97.76,39104.0
2021-02-19,113033.XSHG,40,80.91,32363.999999999996
2021-02-19,113505.XSHG,40,98.93,39572.0
2021-02-19,113528.XSHG,40,103.31,41324.0
2021-02-19,113530.XSHG,40,91.39,36556.0
2021-02-19,113534.XSHG,40,95.62,38248.0
2021-02-19,113536.XSHG,40,93.77,37508.0
2021-02-19,113568.XSHG,40,107.88,43152.0
2021-02-19,113578.XSHG,40,98.0,39200.0
2021-02-19,123023.XSHE,40,93.39,37356.0
2021-02-19,127003.XSHE,40,101.6,40640.0
2021-02-19,128034.XSHE,40,107.47,42988.0
2021-02-19,128064.XSHE,40,111.38,44552.0
2021-02-19,128066.XSHE,40,106.099,42439.6
2021-02-19,128093.XSHE,40,107.3,42920.0
2021-02-19,128100.XSHE,40,92.99,37196.0
2021-02-19,128105.XSHE,40,90.5,36200.0
2021-02-19,128107.XSHE,40,108.58,43432.0
2021-02-26,110033.XSHG,40,92.62,37048.0
2021-02-26,110034.XSHG,40,92.666,37066.4
2021-02-26,110056.XSHG,40,96.79,38716.0
2021-02-26,110068.XSHG,40,97.81,39124.0
2021-02-26,110070.XSHG,40,98.15,39260.0
2021-02-26,113033.XSHG,40,77.912,31164.800000000003
2021-02-26,113505.XSHG,40,93.02,37208.0
2021-02-26,113530.XSHG,40,103.167,41266.8
2021-02-26,113534.XSHG,40,98.0,39200.0
2021-02-26,113536.XSHG,40,90.76,36304.0
2021-02-26,113568.XSHG,40,97.41,38964.0
2021-02-26,113578.XSHG,40,108.8,43520.0
2021-02-26,123023.XSHE,40,106.7,42680.0
2021-02-26,123028.XSHE,40,108.0,43200.0
2021-02-26,128032.XSHE,40,101.33,40532.0
2021-02-26,128066.XSHE,40,89.249,35699.6
2021-02-26,128093.XSHE,40,106.275,42510.0
2021-02-26,128100.XSHE,40,97.8,39120.0
2021-02-26,128105.XSHE,40,94.09,37636.0
2021-02-26,128107.XSHE,40,106.61,42644.0
2021-03-05,110033.XSHG,39,100.1,39039.0
2021-03-05,110034.XSHG,39,80.4,31356.000000000004
2021-03-05,110056.XSHG,39,98.89,38567.1
2021-03-05,110068.XSHG,39,107.86,42065.4
2021-03-05,110070.XSHG,39,95.43,37217.700000000004
2021-03-05,113033.XSHG,39,99.77,38910.299999999996
2021-03-05,113505.XSHG,39,109.21,42591.899999999994
2021-03-05,113534.XSHG,39,104.71,40836.899999999994
2021-03-05,113536.XSHG,39,97.88,38173.2
2021-03-05,113568.XSHG,39,96.1,37479.0
2021-03-05,113578.XSHG,39,102.6,40014.0
2021-03-05,123023.XSHE,39,94.06,36683.4
2021-03-05,123028.XSHE,39,103.29,40283.100000000006
2021-03-05,127003.XSHE,39,99.87,38949.3
2021-03-05,128033.XSHE,39,95.79,37358.100000000006
