trade_date,buysell,sec_id,shares,price,value,cash
2021-01-08,0,110033.XSHG,39,104.95,40930.5,959069.5
2021-01-08,0,110034.XSHG,39,94.099,36698.61,922370.89
2021-01-08,0,110056.XSHG,39,111.51,43488.9,878881.99
2021-01-08,0,110070.XSHG,39,99.12,38656.8,840225.19
2021-01-08,0,113033.XSHG,39,108.18,42190.200000000004,798034.99
2021-01-08,0,113505.XSHG,39,104.46,40739.399999999994,757295.59
2021-01-08,0,113532.XSHG,39,98.29,38333.100000000006,718962.49
2021-01-08,0,113534.XSHG,39,96.35,37576.5,681385.99
2021-01-08,0,113536.XSHG,39,99.96,38984.399999999994,642401.59
2021-01-08,0,113568.XSHG,39,96.845,37769.55,604632.0399999999
2021-01-08,0,113578.XSHG,39,103.6,40404.0,564228.0399999999
2021-01-08,0,123023.XSHE,39,110.26,43001.4,521226.6399999999
2021-01-08,0,123028.XSHE,39,95.8,37362.0,483864.6399999999
2021-01-08,0,127003.XSHE,39,103.998,40559.22,443305.4199999999
2021-01-08,0,128057.XSHE,39,107.433,41898.87000000001,401406.54999999993
2021-01-08,0,128064.XSHE,39,97.2,37908.0,363498.54999999993
2021-01-08,0,128066.XSHE,39,107.1,41769.0,321729.54999999993
2021-01-08,0,128093.XSHE,39,106.56,41558.4,280171.1499999999
2021-01-08,0,128100.XSHE,39,96.43,37607.700000000004,242563.4499999999
2021-01-08,0,128107.XSHE,39,105.909,41304.51,201258.9399999999
2021-01-15,1,113532.XSHG,39,99.33,38738.7,239978.27064999987
2021-01-15,1,128057.XSHE,39,93.1,36309.0,276269.1161499999
2021-01-15,1,128064.XSHE,39,93.1,36309.0,312559.9616499999
2021-01-15,0,128034.XSHE,39,96.258,37540.619999999995,275019.3416499999
2021-01-15,0,128063.XSHE,39,95.12,37096.8,237922.5416499999
2021-01-15,0,128105.XSHE,39,99.494,38802.66,199119.8816499999
2021-01-22,1,110056.XSHG,39,97.52,38032.799999999996,237133.6652499999
2021-01-22,1,113568.XSHG,39,115.74,45138.6,282249.6959499999
2021-01-22,1,128107.XSHE,39,104.391,40712.490000000005,322941.8297049999
2021-01-22,0,113530.XSHG,39,101.9,39741.0,283200.8297049999
2021-01-22,0,128039.XSHE,39,101.998,39779.22,243421.60970499992
2021-01-22,0,128040.XSHE,39,101.108,39432.12,203989.48970499993
2021-01-29,1,110034.XSHG,39,100.72,39280.8,243250.64930499994
2021-01-29,1,113536.XSHG,39,93.78,36574.2,279806.56220499997
2021-01-29,1,113530.XSHG,39,103.011,40174.28999999999,319960.76505999995
2021-01-29,1,128039.XSHE,39,103.011,40174.28999999999,360114.9679149999
2021-01-29,1,128040.XSHE,39,103.011,40174.28999999999,400269.1707699999
2021-01-29,0,110056.XSHG,41,92.15,37781.5,362487.6707699999
2021-01-29,0,113532.XSHG,41,99.79,40913.9,321573.7707699999
2021-01-29,0,113568.XSHG,41,82.0,33620.0,287953.7707699999
2021-01-29,0,128064.XSHE,41,94.6,38786.0,249167.7707699999
2021-01-29,0,128107.XSHE,41,106.98,43861.8,205305.9707699999
2021-02-05,1,110033.XSHG,41,85.83,35190.299999999996,240478.67561999988
2021-02-05,1,127003.XSHE,41,98.9,40549.0,281007.4011199999
2021-02-05,1,128034.XSHE,41,95.334,39086.94,320074.7976499999
2021-02-05,1,128063.XSHE,41,95.334,39086.94,359142.19417999993
2021-02-05,1,113532.XSHG,41,84.97,34837.7,393962.4753299999
2021-02-05,0,113030.XSHG,43,93.99,40415.7,353546.7753299999
2021-02-05,0,113530.XSHG,43,97.5,41925.0,311621.7753299999
2021-02-05,0,113536.XSHG,43,75.3,32379.0,279242.7753299999
2021-02-05,0,123044.XSHE,43,95.73,41163.9,238078.87532999992
2021-02-05,0,123049.XSHE,43,89.0,38270.0,199808.87532999992
2021-02-10,1,123028.XSHE,43,91.59,39383.700000000004,239172.88347999993
2021-02-10,1,110056.XSHG,43,87.01,37414.3,276568.4763299999
2021-02-10,1,113030.XSHG,43,86.13,37035.899999999994,313585.85837999993
2021-02-10,1,123044.XSHE,43,93.5,40205.0,353770.75587999995
2021-02-10,1,123049.XSHE,43,93.5,40205.0,393955.65338
2021-02-10,0,110033.XSHG,42,88.36,37111.2,356844.45337999996
2021-02-10,0,110034.XSHG,42,96.5,40530.0,316314.45337999996
2021-02-10,0,110058.XSHG,42,94.31,39610.2,276704.25337999995
2021-02-10,0,113528.XSHG,42,91.22,38312.399999999994,238391.85337999996
2021-02-10,0,127003.XSHE,42,103.855,43619.1,194772.75337999995
2021-02-19,1,110058.XSHG,42,98.61,41416.2,236168.24527999997
2021-02-19,0,128034.XSHE,40,107.47,42988.0,193180.24527999997
2021-02-26,1,128064.XSHE,40,97.41,38964.0,232124.76327999998
2021-02-26,1,113528.XSHG,40,92.666,37066.4,269172.63008
2021-02-26,1,127003.XSHE,40,92.666,37066.4,306220.49688
2021-02-26,1,128034.XSHE,40,92.666,37066.4,343268.36368
2021-02-26,0,110056.XSHG,40,96.79,38716.0,304552.36368
2021-02-26,0,110068.XSHG,40,97.81,39124.0,265428.36368
2021-02-26,0,123028.XSHE,40,108.0,43200.0,222228.36368
2021-02-26,0,128032.XSHE,40,101.33,40532.0,181696.36368
2021-03-05,1,128107.XSHE,40,96.1,38440.0,220117.14368
2021-03-05,1,113530.XSHG,40,96.1,38440.0,258537.92368
2021-03-05,1,128032.XSHE,40,103.29,41316.0,299833.26568
2021-03-05,0,127003.XSHE,39,99.87,38949.3,260883.96568000002
2021-03-05,0,128033.XSHE,39,95.79,37358.100000000006,223525.86568000002
2021-03-05,0,128034.XSHE,39,109.18,42580.200000000004,180945.66568
2021-03-12,1,110070.XSHG,39,104.51,40758.9,221684.18623000002
2021-03-12,1,113536.XSHG,39,95.434,37219.26,258884.8366
2021-03-12,1,128033.XSHE,39,96.9,37791.0,296656.9411
