trade_date,total_value,mkt_value,cash
2020-12-25,1000000.0,798182.5,201817.49999999994
2020-12-31,998907.4199999999,797089.9199999999,201817.49999999994
2021-01-08,985511.025,789793.1200000001,195717.9049999999
2021-01-15,976743.7165699999,793415.6799999999,183328.03656999994
2021-01-22,974840.3529699999,791599.5,183240.85296999995
2021-01-29,976683.4929699998,795271.3999999999,181412.09296999994
2021-02-05,982384.30744,793296.6700000002,189087.63743999985
2021-02-10,978180.9751899997,792139.1399999999,186041.83518999984
2021-02-19,975077.3278899998,798410.6900000001,176666.63788999978
2021-02-26,968550.3066199998,799466.36,169083.94661999983
2021-03-05,959242.1558449997,797271.0899999999,161971.06584499983
2021-03-12,950680.3158449999,789770.25,160910.06584499983
2021-03-19,964826.6503449999,798526.68,166299.9703449998
2021-03-26,961266.0503449998,794966.08,166299.9703449998
2021-04-02,962358.0525449998,798165.6799999999,164192.37254499982
2021-04-09,962845.8185449997,796774.2799999998,166071.53854499984
2021-04-16,946462.9637249997,790021.7799999998,156441.18372499984
2021-04-23,946276.4837249999,792092.3,154184.18372499984
2021-04-30,974903.035925,798903.26,175999.7759249999
2021-05-07,977125.734155,796343.86,180781.87415499994
2021-05-14,975648.194155,794866.3200000001,180781.87415499994
2021-05-21,979161.0849549999,799764.48,179396.60495499993
2021-05-28,996587.3737549998,795434.2999999998,201153.07375499996
2021-06-04,990767.773755,789614.7,201153.07375499996
2021-06-11,997985.363755,796832.29,201153.07375499996
2021-06-18,998411.6884049999,792516.24,205895.44840499997
