trade_date,sec_id,shares,price,value
2021-06-04,110033.XSHG,72,103.99,74872.8
2021-06-04,110051.XSHG,72,112.49,80992.8
2021-06-04,113021.XSHG,72,106.46,76651.2
2021-06-04,113030.XSHG,72,114.199,82223.28
2021-06-04,113505.XSHG,72,102.98,74145.6
2021-06-04,113530.XSHG,72,115.54,83188.80000000002
2021-06-04,127003.XSHE,72,121.17,87242.4
2021-06-04,127017.XSHE,72,105.93,76269.6
2021-06-04,128064.XSHE,72,110.405,79491.6
2021-06-04,128107.XSHE,72,116.0,83520.0
2021-06-11,110033.XSHG,72,105.72,76118.4
2021-06-11,110051.XSHG,72,114.35,82331.99999999999
2021-06-11,110067.XSHG,72,104.96,75571.2
2021-06-11,113021.XSHG,72,119.499,86039.28
2021-06-11,113030.XSHG,72,103.23,74325.6
2021-06-11,113505.XSHG,72,111.76,80467.2
2021-06-11,113530.XSHG,72,117.12,84326.4
2021-06-11,127003.XSHE,72,105.93,76269.6
2021-06-11,128064.XSHE,72,110.55,79596.0
2021-06-11,128107.XSHE,72,110.415,79498.8
2021-06-18,110033.XSHG,73,105.63,77109.9
2021-06-18,110051.XSHG,73,112.72,82285.59999999999
2021-06-18,110067.XSHG,73,104.831,76526.63
2021-06-18,113021.XSHG,73,116.411,84980.03
2021-06-18,113030.XSHG,73,101.37,74000.1
2021-06-18,113505.XSHG,73,111.36,81292.8
2021-06-18,113530.XSHG,73,114.02,83234.59999999999
2021-06-18,127003.XSHE,73,105.9,77307.0
2021-06-18,128064.XSHE,73,107.88,78752.4
2021-06-18,128107.XSHE,73,108.1,78913.0
