trade_date,buysell,sec_id,shares,price,value,cash
2021-01-08,0,110043.XSHG,78,99.12,77313.6,922686.4
2021-01-08,0,110070.XSHG,78,104.603,81590.34,841096.06
2021-01-08,0,113024.XSHG,78,102.55,79989.0,761107.06
2021-01-08,0,123028.XSHE,78,119.805,93447.90000000001,667659.16
2021-01-08,0,123049.XSHE,78,107.005,83463.9,584195.26
2021-01-08,0,127012.XSHE,78,108.9,84942.0,499253.26
2021-01-08,0,128014.XSHE,78,67.079,52321.619999999995,446931.64
2021-01-08,0,128035.XSHE,78,103.0,80340.0,366591.64
2021-01-08,0,128062.XSHE,78,96.35,75153.0,291438.64
2021-01-08,0,128063.XSHE,78,114.96,89668.79999999999,201769.84000000003
2021-01-15,1,110043.XSHG,78,104.511,81518.57999999999,283247.66071
2021-01-15,1,128035.XSHE,78,109.0,85020.0,368225.15071
2021-01-15,0,128039.XSHE,78,80.22,62571.6,305653.55071000004
2021-01-15,0,128096.XSHE,78,104.511,81518.57999999999,224134.97071000005
2021-01-22,1,128039.XSHE,78,104.09,81190.20000000001,305284.57561000006
2021-01-22,0,127017.XSHE,78,108.598,84706.44,220578.13561000006
2021-01-29,1,123028.XSHE,78,103.398,80650.44,301188.25039000006
2021-01-29,0,128035.XSHE,80,103.0,82400.0,218788.25039000006
2021-02-05,1,128096.XSHE,80,97.715,78172.0,296921.16439000005
2021-02-05,1,128035.XSHE,80,67.796,54236.8,351130.84599000006
2021-02-05,0,123028.XSHE,85,98.72,83912.0,267218.84599000006
2021-02-05,0,128039.XSHE,85,100.2,85170.0,182048.84599000006
2021-02-10,1,127017.XSHE,85,109.76,93296.0,275298.1979900001
2021-02-10,0,110034.XSHG,83,94.31,78277.3,197020.89799000008
2021-03-05,1,128039.XSHE,81,102.15,82741.5,279721.0272400001
2021-03-05,1,110034.XSHG,81,102.15,82741.5,362421.1564900001
2021-03-05,0,127017.XSHE,79,108.49,85707.09999999999,276714.0564900001
2021-03-05,0,128035.XSHE,79,115.801,91482.79000000001,185231.2664900001
2021-03-12,1,123049.XSHE,79,102.2,80738.0,265928.8974900001
2021-03-12,1,127017.XSHE,79,113.15,89388.5,355272.7032400001
2021-03-12,0,110034.XSHG,79,108.79,85944.1,269328.6032400001
2021-03-12,0,128039.XSHE,79,92.85,73351.5,195977.10324000008
2021-03-19,1,110034.XSHG,79,115.301,91087.79000000001,287019.3493450001
2021-03-19,0,127017.XSHE,78,102.278,79776.84,207242.50934500011
2021-04-02,1,128062.XSHE,78,104.18,81260.40000000001,288462.27914500015
2021-04-02,1,127017.XSHE,78,102.994,80335.32,368757.4314850002
2021-04-02,0,110034.XSHG,76,103.55,78698.0,290059.4314850002
2021-04-02,0,123049.XSHE,76,100.906,76688.56000000001,213370.87148500019
2021-04-09,1,110070.XSHG,76,102.43,77846.8,291178.7480850002
2021-04-09,0,113568.XSHG,76,112.69,85644.40000000001,205534.34808500018
2021-04-23,1,110034.XSHG,76,103.0,78280.0,283775.20808500017
2021-04-23,1,113568.XSHG,76,102.4,77824.0,361560.29608500015
2021-04-23,0,110043.XSHG,75,106.4,79800.0,281760.29608500015
2021-04-23,0,127017.XSHE,75,116.5,87375.0,194385.29608500015
2021-04-30,1,110043.XSHG,75,111.44,83580.0,277923.5060850002
2021-04-30,0,110070.XSHG,75,111.46,83595.0,194328.50608500018
2021-05-07,1,110070.XSHG,75,109.221,81915.75,276203.29821000015
2021-05-07,0,123050.XSHE,75,101.4,76050.0,200153.29821000015
2021-05-21,1,128039.XSHE,74,102.98,76205.20000000001,276320.3956100001
2021-05-21,0,110070.XSHG,74,116.53,86232.2,190088.1956100001
2021-05-28,1,123050.XSHE,74,107.721,79713.54000000001,269761.87884000014
2021-05-28,0,128106.XSHE,73,100.808,73589.84,196172.03884000014
