trade_date,sec_id,shares,price,value
2020-12-25,110051.XSHG,74,95.101,70374.74
2020-12-25,110053.XSHG,74,108.19,80060.59999999999
2020-12-25,113011.XSHG,74,107.67,79675.8
2020-12-25,113563.XSHG,74,107.15,79291.0
2020-12-25,113588.XSHG,74,105.998,78438.52
2020-12-25,123007.XSHE,74,123.03,91042.2
2020-12-25,127012.XSHE,74,109.099,80733.26
2020-12-25,127016.XSHE,74,118.37,87593.80000000002
2020-12-25,128015.XSHE,74,103.707,76743.18
2020-12-25,128056.XSHE,74,100.31,74229.40000000001
2020-12-31,110051.XSHG,73,97.725,71339.25
2020-12-31,110053.XSHG,73,109.35,79825.5
2020-12-31,113011.XSHG,73,108.77,79402.1
2020-12-31,113563.XSHG,73,107.46,78445.8
2020-12-31,113588.XSHG,73,108.009,78846.57
2020-12-31,123007.XSHE,73,124.83,91125.9
2020-12-31,127012.XSHE,73,112.52,82139.59999999999
2020-12-31,127016.XSHE,73,119.64,87337.2
2020-12-31,128015.XSHE,73,104.6,76358.0
2020-12-31,128056.XSHE,73,99.0,72270.0
2021-01-08,110053.XSHG,74,96.49,71402.59999999999
2021-01-08,113011.XSHG,74,107.79,79764.6
2021-01-08,113024.XSHG,74,109.8,81252.0
2021-01-08,113563.XSHG,74,107.62,79638.8
2021-01-08,113588.XSHG,74,105.35,77959.0
2021-01-08,123007.XSHE,74,124.75,92315.0
2021-01-08,127012.XSHE,74,109.3,80882.0
2021-01-08,127016.XSHE,74,104.603,77406.22
2021-01-08,128015.XSHE,74,98.585,72952.9
2021-01-08,128056.XSHE,74,103.0,76220.0
2021-01-15,110053.XSHG,76,96.239,73141.64000000001
2021-01-15,113024.XSHG,76,108.71,82619.59999999999
2021-01-15,113563.XSHG,76,110.5,83980.0
2021-01-15,113588.XSHG,76,107.76,81897.6
2021-01-15,123007.XSHE,76,104.53,79442.8
2021-01-15,123028.XSHE,76,109.962,83571.12000000001
2021-01-15,127012.XSHE,76,106.66,81061.6
2021-01-15,127016.XSHE,76,98.66,74981.6
2021-01-15,128015.XSHE,76,105.14,79906.40000000001
2021-01-15,128056.XSHE,76,95.807,72813.32
2021-01-22,110053.XSHG,75,95.6,71700.0
2021-01-22,113024.XSHG,75,110.22,82665.0
2021-01-22,113563.XSHG,75,109.02,81765.0
2021-01-22,113565.XSHG,75,111.75,83812.5
2021-01-22,113588.XSHG,75,103.55,77662.5
2021-01-22,123007.XSHE,75,111.68,83760.0
2021-01-22,127012.XSHE,75,106.46,79844.99999999999
2021-01-22,127016.XSHE,75,105.4,79050.0
2021-01-22,128015.XSHE,75,97.696,73272.0
2021-01-22,128056.XSHE,75,104.09,78067.5
2021-01-29,110053.XSHG,77,94.505,72768.84999999999
2021-01-29,113024.XSHG,77,103.36,79587.2
2021-01-29,113563.XSHG,77,107.7,82929.0
2021-01-29,113588.XSHG,77,104.55,80503.5
2021-01-29,123007.XSHE,77,99.0,76230.0
2021-01-29,127012.XSHE,77,108.31,83398.70000000001
2021-01-29,127016.XSHE,77,103.398,79616.45999999999
2021-01-29,128015.XSHE,77,95.996,73916.92
2021-01-29,128035.XSHE,77,103.0,79310.0
2021-01-29,128056.XSHE,77,113.001,87010.77000000002
2021-02-05,110051.XSHG,79,93.84,74133.6
2021-02-05,110053.XSHG,79,102.454,80938.65999999999
2021-02-05,113563.XSHG,79,100.0,79000.0
2021-02-05,113588.XSHG,79,107.8,85161.99999999999
2021-02-05,123007.XSHE,79,99.98,78984.2
2021-02-05,127012.XSHE,79,96.5,76235.0
2021-02-05,127016.XSHE,79,105.59,83416.1
2021-02-05,128015.XSHE,79,103.22,81543.8
2021-02-05,128056.XSHE,79,101.189,79939.31
2021-02-05,128109.XSHE,79,93.6,73944.0
2021-02-10,110051.XSHG,78,95.003,74102.34
