trade_date,buysell,sec_id,shares,price,value,cash
2020-12-25,0,110051.XSHG,74,95.101,70374.74,929625.26
2020-12-25,0,110053.XSHG,74,108.19,80060.59999999999,849564.66
2020-12-25,0,113011.XSHG,74,107.67,79675.8,769888.86
2020-12-25,0,113563.XSHG,74,107.15,79291.0,690597.86
2020-12-25,0,113588.XSHG,74,105.998,78438.52,612159.34
2020-12-25,0,123007.XSHE,74,123.03,91042.2,521117.13999999996
2020-12-25,0,127012.XSHE,74,109.099,80733.26,440383.87999999995
2020-12-25,0,127016.XSHE,74,118.37,87593.80000000002,352790.07999999996
2020-12-25,0,128015.XSHE,74,103.707,76743.18,276046.89999999997
2020-12-25,0,128056.XSHE,74,100.31,74229.40000000001,201817.49999999994
2021-01-08,1,110051.XSHG,73,103.0,75190.0,276969.9049999999
2021-01-08,0,113024.XSHG,74,109.8,81252.0,195717.9049999999
2021-01-15,1,113011.XSHG,74,96.239,71216.86,266899.15656999993
2021-01-15,0,123028.XSHE,76,109.962,83571.12000000001,183328.03656999994
2021-01-22,1,123028.XSHE,76,110.22,83767.2,267053.35296999995
2021-01-22,0,113565.XSHG,75,111.75,83812.5,183240.85296999995
2021-01-29,1,113565.XSHG,75,103.36,77520.0,260722.09296999994
2021-01-29,0,128035.XSHE,77,103.0,79310.0,181412.09296999994
2021-02-05,1,113024.XSHG,77,101.189,77915.53,259288.6652049999
2021-02-05,1,128035.XSHE,77,101.189,77915.53,337165.2374399999
2021-02-05,0,110051.XSHG,79,93.84,74133.6,263031.63743999985
2021-02-05,0,128109.XSHE,79,93.6,73944.0,189087.63743999985
2021-02-10,1,127016.XSHE,79,103.55,81804.5,270851.23518999986
2021-02-10,0,113565.XSHG,78,108.73,84809.40000000001,186041.83518999984
2021-02-19,1,123007.XSHE,78,100.0,78000.0,264002.83518999984
2021-02-19,1,113565.XSHG,78,103.07,80394.59999999999,344357.2378899998
2021-02-19,0,113024.XSHG,77,104.28,80295.6,264061.6378899998
2021-02-19,0,127016.XSHE,77,113.5,87395.0,176666.63788999978
2021-02-26,1,113024.XSHG,77,99.302,76462.54000000001,253090.9466199998
2021-02-26,0,123007.XSHE,77,109.1,84006.99999999999,169083.94661999983
2021-03-05,1,110051.XSHG,77,99.015,76241.55,245287.37584499983
2021-03-05,0,113024.XSHG,77,108.203,83316.31,161971.06584499983
2021-03-12,1,128056.XSHE,77,100.0,77000.0,238932.56584499983
2021-03-12,0,128035.XSHE,75,104.03,78022.5,160910.06584499983
2021-03-19,1,128035.XSHE,75,109.588,82191.0,243059.9703449998
2021-03-19,0,128056.XSHE,76,101.0,76760.0,166299.9703449998
2021-04-02,1,113024.XSHG,76,106.31,80795.6,247055.1725449998
2021-04-02,0,113565.XSHG,76,109.03,82862.8,164192.37254499982
2021-04-09,1,113565.XSHG,76,108.3,82308.0,246459.21854499984
2021-04-09,0,113011.XSHG,74,108.632,80387.68,166071.53854499984
2021-04-16,1,113563.XSHG,74,99.986,73989.64,240024.18372499984
2021-04-16,0,113024.XSHG,74,112.95,83583.00000000001,156441.18372499984
2021-04-23,1,128109.XSHE,74,100.0,74000.0,230404.18372499984
2021-04-23,0,128035.XSHE,74,103.0,76220.0,154184.18372499984
2021-04-30,1,113024.XSHG,74,118.47,87667.8,241808.14982499985
2021-04-30,1,128035.XSHE,74,118.47,87667.8,329432.1159249999
2021-04-30,0,110051.XSHG,74,101.201,74888.73999999999,254543.37592499988
2021-04-30,0,113563.XSHG,74,106.14,78543.59999999999,175999.7759249999
2021-05-07,1,127016.XSHE,74,109.221,80823.54000000001,256782.90415499994
2021-05-07,0,123050.XSHE,73,104.111,76001.03,180781.87415499994
2021-05-21,1,127012.XSHE,72,107.97,77738.4,258481.40495499995
2021-05-21,0,128109.XSHE,72,109.84,79084.8,179396.60495499993
2021-05-28,1,123050.XSHE,72,124.21,89431.19999999998,268783.08935499995
2021-05-28,1,128109.XSHE,72,124.21,89431.19999999998,358169.57375499996
2021-05-28,0,127012.XSHE,71,108.25,76857.5,281312.07375499996
2021-05-28,0,128106.XSHE,71,112.9,80159.0,201153.07375499996
2021-06-18,1,128106.XSHE,71,115.17,81770.7,282882.888405
2021-06-18,0,113565.XSHG,72,106.927,76987.44,205895.44840499997
