trade_date,sec_id,shares,price,value
2018-01-26,110031.XSHG,80,94.52,75616.0
2018-01-26,113012.XSHG,80,93.6,74880.0
2018-01-26,113016.XSHG,80,102.38,81904.0
2018-01-26,113503.XSHG,80,96.5,77200.0
2018-01-26,123001.XSHE,80,101.96,81568.0
2018-01-26,127003.XSHE,80,103.77,83016.0
2018-01-26,127004.XSHE,80,107.597,86077.6
2018-01-26,128013.XSHE,80,97.609,78087.2
2018-01-26,128014.XSHE,80,100.71,80568.0
2018-01-26,128023.XSHE,80,99.26,79408.0
2018-02-23,110030.XSHG,81,93.18,75475.8
2018-02-23,110031.XSHG,81,93.023,75348.62999999999
2018-02-23,113012.XSHG,81,94.419,76479.39
2018-02-23,113016.XSHG,81,101.78,82441.8
2018-02-23,123001.XSHE,81,99.601,80676.81
2018-02-23,127003.XSHE,81,96.65,78286.5
2018-02-23,127004.XSHE,81,103.092,83504.51999999999
2018-02-23,128013.XSHE,81,107.63,87180.29999999999
2018-02-23,128014.XSHE,81,94.04,76172.40000000001
2018-02-23,128023.XSHE,81,97.81,79226.1
2018-03-30,110031.XSHG,81,92.92,75265.20000000001
2018-03-30,113019.XSHG,81,92.234,74709.54
2018-03-30,123001.XSHE,81,94.743,76741.83
2018-03-30,127003.XSHE,81,104.62,84742.20000000001
2018-03-30,127004.XSHE,81,103.93,84183.3
2018-03-30,128012.XSHE,81,100.5,81405.0
2018-03-30,128013.XSHE,81,94.499,76544.19
2018-03-30,128014.XSHE,81,104.0,84240.0
2018-03-30,128023.XSHE,81,95.15,77071.5
2018-03-30,128034.XSHE,81,93.47,75710.7
2018-04-27,110031.XSHG,84,91.866,77167.44
2018-04-27,113016.XSHG,84,85.38,71719.2
2018-04-27,123001.XSHE,84,91.852,77155.68000000001
2018-04-27,127003.XSHE,84,93.43,78481.20000000001
2018-04-27,127004.XSHE,84,97.49,81891.6
2018-04-27,128012.XSHE,84,102.82,86368.79999999999
2018-04-27,128013.XSHE,84,93.088,78193.92
2018-04-27,128014.XSHE,84,105.17,88342.8
2018-04-27,128018.XSHE,84,96.27,80866.79999999999
2018-04-27,128023.XSHE,84,92.267,77504.28
2018-05-25,110031.XSHG,84,94.84,79665.6
2018-05-25,113008.XSHG,84,90.5,76020.0
2018-05-25,113502.XSHG,84,90.36,75902.4
2018-05-25,123001.XSHE,84,84.48,70963.20000000001
2018-05-25,127003.XSHE,84,90.299,75851.16
2018-05-25,127004.XSHE,84,91.28,76675.20000000001
2018-05-25,128012.XSHE,84,103.32,86788.79999999999
2018-05-25,128013.XSHE,84,100.85,84714.0
2018-05-25,128014.XSHE,84,104.596,87860.64
2018-05-25,128018.XSHE,84,91.0,76440.0
2018-06-29,113016.XSHG,92,88.37,81300.40000000001
2018-06-29,113502.XSHG,92,83.955,77238.59999999999
2018-06-29,123001.XSHE,92,80.0,73600.0
2018-06-29,127003.XSHE,92,87.3,80316.0
2018-06-29,127004.XSHE,92,86.81200000000003,79867.04000000002
2018-06-29,128012.XSHE,92,86.934,79979.28
2018-06-29,128013.XSHE,92,87.189,80213.87999999999
2018-06-29,128018.XSHE,92,86.921,79967.32
2018-06-29,128023.XSHE,92,86.71799999999998,79780.55999999998
2018-06-29,128037.XSHE,92,91.4,84088.00000000001
2018-07-27,110031.XSHG,87,91.62,79709.40000000001
2018-07-27,113016.XSHG,87,81.081,70540.47
2018-07-27,113502.XSHG,87,89.52,77882.4
2018-07-27,113510.XSHG,87,88.7,77169.0
2018-07-27,123001.XSHE,87,96.1,83606.99999999999
2018-07-27,127003.XSHE,87,88.815,77269.05
2018-07-27,127004.XSHE,87,93.001,80910.87000000001
2018-07-27,128012.XSHE,87,105.18,91506.6
2018-07-27,128013.XSHE,87,91.151,79301.37
2018-07-27,128023.XSHE,87,93.73,81545.1
2018-08-31,113502.XSHG,89,88.42,78693.8
2018-08-31,123001.XSHE,89,94.001,83660.89
2018-08-31,123011.XSHE,89,88.48,78747.2
2018-08-31,127003.XSHE,89,86.027,76564.03
2018-08-31,127004.XSHE,89,98.023,87240.47
2018-08-31,127007.XSHE,89,85.881,76434.09
