trade_date,total_value,mkt_value,cash
2021-01-08,1000000.0000000002,798230.1600000001,201769.84000000003
2021-01-15,1015794.41071,791659.44,224134.97071000005
2021-01-22,1013131.4556100001,792553.3200000001,220578.13561000006
2021-01-29,1017845.05039,799056.7999999999,218788.25039000006
2021-02-05,974455.3959900002,792406.5500000002,182048.84599000006
2021-02-10,991965.8479900002,794944.9500000001,197020.89799000008
2021-02-19,992274.0379900001,795253.14,197020.89799000008
2021-02-26,987636.78799,790615.8899999999,197020.89799000008
2021-03-05,984016.0664900001,798784.8,185231.2664900001
2021-03-12,995393.1132400001,799416.01,195977.10324000008
2021-03-19,1006386.8293450002,799144.3200000001,207242.50934500011
2021-03-26,997487.8093450002,790245.3,207242.50934500011
2021-04-02,1008812.7114850003,795441.8400000001,213370.87148500019
2021-04-09,1003257.7080850004,797723.3600000002,205534.34808500018
2021-04-16,1004081.5480850002,798547.2000000001,205534.34808500018
2021-04-23,993997.7960850002,799612.5,194385.29608500015
2021-04-30,984169.256085,789840.7499999998,194328.50608500018
2021-05-07,989684.2982100003,789531.0000000001,200153.29821000015
2021-05-14,990689.37821,790536.0799999998,200153.29821000015
2021-05-21,985460.17561,795371.98,190088.1956100001
2021-05-28,990237.5688400002,794065.53,196172.03884000014
2021-06-04,990655.8588400002,794483.8200000001,196172.03884000014
2021-06-11,988455.6388400001,792283.6,196172.03884000014
2021-06-18,985777.9388400002,789605.9,196172.03884000014
