,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,123028.XSHE,123029.XSHE,123033.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2020-01-03
1,113016.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,123028.XSHE,123033.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128063.XSHE,128069.XSHE,2020-01-10
2,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113553.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2020-01-17
3,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113553.XSHG,123028.XSHE,123033.XSHE,127003.XSHE,128013.XSHE,128014.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128093.XSHE,2020-01-23
4,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113541.XSHG,113553.XSHG,123011.XSHE,123033.XSHE,127003.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128093.XSHE,2020-02-07
5,113502.XSHG,113505.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113553.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128063.XSHE,128093.XSHE,2020-02-14
6,110045.XSHG,110059.XSHG,113016.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113553.XSHG,123011.XSHE,123033.XSHE,127003.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,2020-02-21
7,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113537.XSHG,113553.XSHG,123011.XSHE,123033.XSHE,127003.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2020-02-28
8,110045.XSHG,113016.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,123011.XSHE,123033.XSHE,127003.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2020-03-06
9,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113537.XSHG,113553.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2020-03-13
10,110045.XSHG,110059.XSHG,113016.XSHG,113021.XSHG,113519.XSHG,113524.XSHG,113527.XSHG,113530.XSHG,113553.XSHG,113562.XSHG,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128062.XSHE,128063.XSHE,2020-03-20
11,110045.XSHG,110059.XSHG,113016.XSHG,113021.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,113553.XSHG,123011.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128042.XSHE,128062.XSHE,128063.XSHE,2020-03-27
12,110045.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113537.XSHG,113553.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128042.XSHE,128062.XSHE,128063.XSHE,2020-04-03
13,110045.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113537.XSHG,113553.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128050.XSHE,128063.XSHE,128093.XSHE,2020-04-10
14,110045.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113553.XSHG,113568.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,127003.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2020-04-17
15,110045.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113535.XSHG,113537.XSHG,113553.XSHG,113564.XSHG,123011.XSHE,123028.XSHE,123033.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,2020-04-24
