,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
23,110038.XSHG,110056.XSHG,113025.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113534.XSHG,123011.XSHE,123017.XSHE,127004.XSHE,127013.XSHE,128013.XSHE,128015.XSHE,128023.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128066.XSHE,2019-06-21
24,110038.XSHG,110056.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113534.XSHG,123011.XSHE,123017.XSHE,127004.XSHE,127013.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128066.XSHE,2019-06-28
25,110038.XSHG,110056.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113534.XSHG,113537.XSHG,123011.XSHE,127004.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128042.XSHE,128050.XSHE,128051.XSHE,128062.XSHE,128063.XSHE,128066.XSHE,2019-07-05
26,110038.XSHG,110056.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128066.XSHE,128069.XSHE,2019-07-12
27,110038.XSHG,110056.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123028.XSHE,127004.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128066.XSHE,128069.XSHE,2019-07-19
28,110038.XSHG,110056.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,123017.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128023.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128066.XSHE,128069.XSHE,2019-07-26
29,110038.XSHG,110056.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128023.XSHE,128042.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128066.XSHE,128069.XSHE,2019-08-02
30,113016.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2019-08-09
31,110056.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128023.XSHE,128026.XSHE,128032.XSHE,128035.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128069.XSHE,2019-08-16
32,113016.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113537.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128050.XSHE,128062.XSHE,128063.XSHE,128066.XSHE,2019-08-23
