sec_id,cb_close,evalute_price,prem_ratio,trade_date,pure_bond_close,option_price,duration,volatality,strike_price,stock_price,accrual_end_date
128012.XSHE,82.73899999999999,82.69581912782492,1.000522165118267,20190104,82.6547,0.04111912782490727,2.293150684931507,0.4590989036798062,7.71,2.14,2021-04-20
110047.XSHG,100.23,98.70767245877164,1.0154225857353105,20190104,97.383613,1.3240594587716488,4.879452054794521,0.3243428652521895,3.34,3.15,2023-11-20
128018.XSHE,87.94,90.07866090048088,0.9762578519806852,20190104,89.148501,0.9301599004808845,3.8383561643835615,0.39640996435508524,11.83,5.53,2022-11-05
128050.XSHE,95.0,114.70524535272247,0.8282097275313942,20190104,99.62446800000001,15.080777352722466,4.931506849315069,0.6995645103634117,21.74,20.15,2023-12-09
113502.XSHG,89.98,96.969659686402,0.9279191067700308,20190104,91.19997,5.7696896864020095,3.8493150684931505,0.4664990771695053,45.27,23.15,2022-11-09
127003.XSHE,91.5,100.54438285537012,0.9100458663277076,20190104,100.283999,0.2603838553701223,2.4246575342465753,0.23240788144983376,3.5,2.53,2021-06-07
123010.XSHE,92.111,93.29896116285401,0.9872671555176223,20190104,89.938678,3.360283162854018,4.498630136986302,0.4139030109095608,14.3,10.25,2023-07-04
128026.XSHE,87.99,90.34505841799859,0.9739326260977942,20190104,88.83286700000001,1.5121914179985825,3.9397260273972603,0.36901835184716764,11.64,6.61,2022-12-12
113014.XSHG,94.5,90.42378758521657,1.045078983347628,20190104,89.259989,1.1637985852165662,3.8109589041095893,0.40197609361751846,8.76,4.72,2022-10-26
110031.XSHG,106.52,103.91285862445613,1.0250896896693618,20190104,101.403399,2.509459624456137,1.4356164383561645,0.4926082013121584,42.38,24.99,2020-06-11
128022.XSHE,92.77600000000001,90.43147361872515,1.025925999958375,20190104,88.489261,1.9422126187251483,3.9068493150684933,0.46670562456434994,11.0,6.16,2022-11-30
113019.XSHG,99.8,99.64897467110572,1.0015155733352274,20190104,97.233009,2.4159656711057242,3.1534246575342464,0.28389861542459127,18.84,13.58,2022-02-28
128036.XSHE,88.62700000000001,90.29983637222917,0.9814746466944472,20190104,88.269757,2.0300793722291717,4.175342465753425,0.33832253303615467,9.62,6.69,2023-03-08
113017.XSHG,92.66,91.4438766717266,1.0132991226152752,20190104,90.95532,0.4885566717266031,3.978082191780822,0.28926700164381003,2.96,2.09,2022-12-26
127004.XSHE,87.905,95.60547881773172,0.9194556743718381,20190104,95.417537,0.1879418177317233,3.408219178082192,0.30703412064459545,7.72,3.03,2022-06-01
113008.XSHG,107.5,103.12639208343788,1.0424101709388176,20190104,102.236273,0.8901190834378849,1.0767123287671232,0.28888324589702324,5.19,5.1,2020-02-01
113009.XSHG,103.0,100.3158711980647,1.0267567710859604,20190104,99.224244,1.0916271980646943,2.0493150684931507,0.2930037198398683,14.74,10.38,2021-01-21
128029.XSHE,97.6,94.28440052347023,1.0351659389901346,20190104,93.06328,1.2211205234702234,2.9643835616438357,0.4254968334077235,8.75,5.63,2021-12-21
113521.XSHG,93.67,95.93689090152692,0.9763710197378218,20190104,91.533804,4.403086901526925,4.865753424657535,0.5546608875339959,8.95,7.76,2023-11-15
110034.XSHG,102.0,101.55564069838474,1.0043755255597766,20190104,99.67352199999999,1.8821186983847502,2.03013698630137,0.2660468391843812,18.42,14.62,2021-01-14
128013.XSHE,89.459,96.26042109646453,0.9293435347675377,20190104,96.23569499999999,0.024726096464529612,2.5643835616438357,0.32563305170083706,9.98,3.03,2021-07-28
128014.XSHE,92.66,96.6359880057986,0.9588560319209442,20190104,93.936269,2.6997190057986002,3.282191780821918,0.423357235865882,13.53,9.09,2022-04-16
128043.XSHE,95.7,96.82237202594298,0.9884079267791307,20190104,92.161353,4.661019025942983,4.575342465753424,0.42218977249573436,11.43,10.13,2023-08-01
113519.XSHG,99.38,101.38842652385198,0.980190771346279,20190104,95.822822,5.565604523851975,4.841095890410959,0.4124643717462152,11.99,11.29,2023-11-06
123004.XSHE,92.6,,,20190104,88.301974,,3.9534246575342467,,8.23,3.78,2022-12-17
127007.XSHE,95.211,96.99390302575156,0.9816184010527115,20190104,94.328938,2.6649650257515645,4.47945205479452,0.3740225039218897,10.16,7.34,2023-06-27
113505.XSHG,92.61,92.30865633798851,1.0032645222448924,20190104,90.109071,2.199585337988511,4.167123287671233,0.4056890200633978,7.29,5.74,2023-03-05
110033.XSHG,104.23,102.11752698090636,1.0206866840742101,20190104,100.741763,1.3757639809063575,2.0027397260273974,0.32434619430478906,8.61,7.18,2021-01-04
128042.XSHE,94.897,97.61933611236661,0.9721127368738401,20190104,93.657945,3.9613911123666177,4.567123287671233,0.36566732252144163,13.25,10.33,2023-07-29
123011.XSHE,97.8,109.91901718241236,0.8897459466699865,20190104,94.075108,15.843909182412364,4.534246575342466,0.36083953574961825,34.96,33.88,2023-07-17
128010.XSHE,97.77,99.93126518656541,0.9783724825005421,20190104,99.71809300000001,0.21317218656539794,2.0493150684931507,0.4269295829993513,9.28,4.02,2021-01-21
123015.XSHE,94.25,91.96308395209867,1.0248677616019546,20190104,89.50115600000001,2.4619279520986668,4.605479452054794,0.4092787797577588,5.82,5.4,2023-08-12
128049.XSHE,92.802,94.50104945844868,0.9820208403167445,20190104,91.41077299999999,3.090276458448685,4.895890410958904,0.4889494036809943,7.58,6.84,2023-11-26
128040.XSHE,89.789,93.73926496399595,0.9578590149441305,20190104,91.20692700000001,2.532337963995946,4.441095890410959,0.49716079668453345,11.45,7.4,2023-06-13
128030.XSHE,92.35,93.2391028678828,0.9904642704558982,20190104,92.637522,0.6015808678827991,3.9643835616438357,0.2777582805966367,8.15,4.36,2022-12-21
128037.XSHE,89.444,91.07680017448858,0.9820722711891459,20190104,90.010077,1.0667231744885803,4.191780821917808,0.39178261058908675,8.03,4.45,2023-03-14
128032.XSHE,91.709,90.06499834547257,1.0182535023008754,20190104,88.60430500000001,1.4606933454725626,3.9726027397260273,0.39345832719615936,9.99,5.96,2022-12-24
113012.XSHG,95.59,93.08566276409616,1.0269035763568715,20190104,91.607956,1.477706764096158,3.2164383561643834,0.30873502062448305,13.44,8.75,2022-03-23
128023.XSHE,88.463,91.45924893915827,0.9672395195246849,20190104,90.837103,0.6221459391582771,3.915068493150685,0.35317986177017513,10.34,4.38,2022-12-03
128015.XSHE,92.75,94.48728195726511,0.9816135894558714,20190104,92.76834699999999,1.718934957265119,3.4246575342465753,0.4605232780652895,12.86,7.34,2022-06-07
128012.XSHE,87.1,83.13949586993338,1.0476368552470245,20190111,83.033135,0.1063608699333884,2.2739726027397262,0.4642322479535432,7.71,2.14,2021-04-20
