secID,tickerBond,tickerEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
123028.XSHE,123028,300437,2021-06-18,4.9,4.551047,98.58,11.84,8.41,10.933,0.000812,-0.015372,38.7856,95.114556,3.643442,,,,0.0,,11.84,2021-06-18
113578.XSHG,113578,603030,2021-06-18,3.84,3.83931,98.98,5.43,4.33,5.629,0.002228,-0.012176,24.125,95.693259,3.434663,,,,-0.1643835616438356,,5.43,2021-04-19
113505.XSHG,113505,603618,2021-06-18,7.8,7.498365,105.63,7.08,6.84,8.892,0.024341,-0.000851,9.3363,100.084973,5.54032,,,,-0.2876712328767123,,7.08,2021-03-05
128100.XSHE,128100,002503,2021-06-18,8.0,7.993691,82.795,2.9,1.64,2.132,0.007177,-0.013394,46.4057,95.331379,-13.150318,,,,-0.27123287671232876,,2.9,2021-03-11
128114.XSHE,128114,002157,2021-06-18,16.0,15.962983,102.571,14.76,11.62,15.106,-0.006095,-0.030593,30.2881,95.117073,7.836582,,,,-0.005479452054794521,,14.76,2021-06-16
127016.XSHE,127016,000726,2021-06-18,14.0,13.998816,100.15,8.71,6.07,7.891,0.0005,-0.006448,43.7078,96.642917,3.628908,,,,-0.19452054794520549,,8.71,2021-04-08
128040.XSHE,128040,002758,2021-06-18,2.24,2.222414,107.156,10.15,9.57,12.441,-0.00542,-0.138617,13.6503,93.06014,15.147044,,,,-0.0136986301369863,,10.15,2021-06-13
113024.XSHG,113024,601611,2021-06-18,29.9625,29.960333,102.59,9.76,7.2,9.36,0.000683,-0.004464,39.0664,95.973788,6.893769,,,,-0.19726027397260273,,9.76,2021-04-07
128056.XSHE,128056,002863,2021-06-18,3.68,1.722865,106.927,6.7,5.1,6.63,0.003068,-0.014906,40.4727,88.602342,20.681911,,,,-0.3041095890410959,,6.7,2021-02-27
113568.XSHG,113568,603667,2021-06-18,3.3,3.299231,111.02,8.75,9.04,11.752,-0.00359,-0.047284,7.4585,92.160111,20.464265,,,,-0.2876712328767123,,8.75,2021-03-05
123053.XSHE,123053,300031,2021-06-18,5.0,4.999334,106.31,20.8,16.67,21.671,0.003227,-0.009236,32.6483,88.083398,20.692438,,,,-0.038356164383561646,,20.8,2021-06-04
127003.XSHE,127003,000861,2021-06-18,11.11,6.738179,104.831,3.0,2.05,2.665,0.000601,-0.001229,53.4112,106.469459,-1.5389,,,,-0.030136986301369864,,3.0,2021-06-07
110057.XSHG,110057,600420,2021-06-18,16.1594,16.156921,111.04,9.89,9.8,12.74,-0.001708,-0.020034,12.0597,96.914298,14.575457,,,,-0.21643835616438356,,9.89,2021-03-31
127017.XSHE,127017,000789,2021-06-18,10.0,9.996436,110.921,13.46,11.6,15.08,-0.009634,-0.025761,28.7066,97.814871,13.398912,,,,-0.043835616438356165,,13.46,2021-06-02
127012.XSHE,127012,001965,2021-06-18,50.0,49.998387,107.51,8.81,7.48,9.724,0.001649,-0.022627,26.626,94.809082,13.39631,,,,-0.24383561643835616,,8.81,2021-03-21
123007.XSHE,123007,300409,2021-06-18,4.8,3.039232,115.17,14.5,15.54,20.202,0.021011,0.004098,7.4623,94.856606,21.414844,,,,-0.473972602739726,,14.5,2020-12-27
128014.XSHE,128014,002753,2021-06-18,3.4,3.370145,104.05,12.52,8.79,11.427,0.00415,-0.004306,48.2031,98.942613,5.161969,,,,-0.1726027397260274,,12.52,2021-04-16
110043.XSHG,110043,600908,2021-06-18,30.0,29.213822,113.23,5.79,5.75,7.475,0.003723,-0.011782,14.0176,98.608179,14.828203,,,,-0.3835616438356164,,5.79,2021-01-29
110070.XSHG,110070,600231,2021-06-18,4.4,2.171351,111.5,2.75,2.79,3.627,-0.004553,-0.046683,9.9014,95.411061,16.86276,,,,-0.18356164383561643,,2.75,2021-04-12
