,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,113502.XSHG,113519.XSHG,113521.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,127007.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128015.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128036.XSHE,128037.XSHE,128040.XSHE,128042.XSHE,128049.XSHE,128050.XSHE,20190104
1,113502.XSHG,113521.XSHG,113524.XSHG,123010.XSHE,123011.XSHE,127003.XSHE,127004.XSHE,127007.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128015.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128036.XSHE,128037.XSHE,128040.XSHE,128042.XSHE,128050.XSHE,20190111
2,113502.XSHG,113524.XSHG,123010.XSHE,123011.XSHE,127003.XSHE,127004.XSHE,127007.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128015.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128040.XSHE,128042.XSHE,128049.XSHE,128050.XSHE,128051.XSHE,20190118
3,113502.XSHG,113519.XSHG,113521.XSHG,113524.XSHG,123010.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128015.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128036.XSHE,128037.XSHE,128040.XSHE,128042.XSHE,128049.XSHE,128050.XSHE,20190125
4,113502.XSHG,113521.XSHG,113524.XSHG,123010.XSHE,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128015.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128036.XSHE,128037.XSHE,128040.XSHE,128042.XSHE,128049.XSHE,128050.XSHE,20190201
5,113502.XSHG,113521.XSHG,113524.XSHG,123010.XSHE,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128015.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128036.XSHE,128037.XSHE,128040.XSHE,128042.XSHE,128043.XSHE,128050.XSHE,20190215
6,110034.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,123010.XSHE,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128015.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128040.XSHE,128042.XSHE,128050.XSHE,128051.XSHE,20190222
7,113502.XSHG,113508.XSHG,113524.XSHG,113527.XSHG,123010.XSHE,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128015.XSHE,128018.XSHE,128023.XSHE,128026.XSHE,128037.XSHE,128040.XSHE,128042.XSHE,128050.XSHE,128051.XSHE,20190301
8,110034.XSHG,110038.XSHG,113502.XSHG,113519.XSHG,113524.XSHG,113527.XSHG,123010.XSHE,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128028.XSHE,128037.XSHE,128040.XSHE,128042.XSHE,128050.XSHE,20190308
9,110031.XSHG,110034.XSHG,110038.XSHG,113019.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128015.XSHE,128023.XSHE,128026.XSHE,128028.XSHE,128042.XSHE,128050.XSHE,128051.XSHE,20190315
10,110031.XSHG,110034.XSHG,110038.XSHG,113019.XSHG,113021.XSHG,113502.XSHG,113508.XSHG,113524.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128015.XSHE,128023.XSHE,128026.XSHE,128028.XSHE,128050.XSHE,128051.XSHE,20190322
11,110031.XSHG,110034.XSHG,110038.XSHG,110045.XSHG,113021.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,123011.XSHE,123020.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128028.XSHE,128042.XSHE,128050.XSHE,128051.XSHE,20190329
12,110031.XSHG,110034.XSHG,110038.XSHG,110045.XSHG,110053.XSHG,113021.XSHG,113502.XSHG,113524.XSHG,123011.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128028.XSHE,128035.XSHE,128042.XSHE,128050.XSHE,128051.XSHE,20190404
13,110031.XSHG,110034.XSHG,110038.XSHG,110045.XSHG,110053.XSHG,113021.XSHG,113502.XSHG,113524.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128028.XSHE,128035.XSHE,128050.XSHE,128051.XSHE,20190412
14,110031.XSHG,110034.XSHG,110038.XSHG,110053.XSHG,113021.XSHG,113502.XSHG,113528.XSHG,113530.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128026.XSHE,128028.XSHE,128035.XSHE,128050.XSHE,128051.XSHE,20190419
15,110034.XSHG,110038.XSHG,113502.XSHG,113518.XSHG,113528.XSHG,113530.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128028.XSHE,128035.XSHE,128042.XSHE,128050.XSHE,128051.XSHE,128062.XSHE,128063.XSHE,20190426
16,110034.XSHG,110038.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113534.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128042.XSHE,128050.XSHE,128051.XSHE,128062.XSHE,128063.XSHE,20190430
17,110038.XSHG,113025.XSHG,113502.XSHG,113524.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113534.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128015.XSHE,128023.XSHE,128042.XSHE,128050.XSHE,128051.XSHE,128063.XSHE,20190510
18,110038.XSHG,110056.XSHG,113025.XSHG,113502.XSHG,113518.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113534.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128014.XSHE,128023.XSHE,128042.XSHE,128050.XSHE,128063.XSHE,128066.XSHE,20190517
19,110038.XSHG,110056.XSHG,113025.XSHG,113502.XSHG,113518.XSHG,113527.XSHG,113528.XSHG,113530.XSHG,113534.XSHG,123011.XSHE,127003.XSHE,127004.XSHE,128010.XSHE,128013.XSHE,128023.XSHE,128042.XSHE,128050.XSHE,128051.XSHE,128063.XSHE,128066.XSHE,20190524
