secID,tickerBond,secShortNameBond,tickerEqu,secShortNameEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
128015.XSHE,128015,久其转债,002279,久其软件,2020-01-03,7.8,7.793827,99.074,9.48,6.34,8.242,-0.000958,0.004196,48.1421,88.170379,12.366535,89.48166059692534,1.10719894265579,1.3112815969253426,2.4273972602739726,0.4649761456246976,9.48,2022-06-07
123028.XSHE,123028,清水转债,300437,清水源,2020-01-03,4.9,4.899838,105.0,11.95,10.64,13.832,0.002061,0.019417,17.9276,99.800381,5.210019,104.23774253730072,1.0073126819916165,4.437361537300716,4.46027397260274,0.37552763014191115,11.95,2024-06-18
123030.XSHE,123030,九洲转债,300040,九洲电气,2020-01-03,3.08,3.08,109.5,5.7,5.62,,0.004504,0.018605,11.0587,95.36869300000001,14.817554000000001,98.18104970232773,1.1152865072434026,2.8123567023277243,4.63013698630137,0.4737433519955715,5.7,2024-08-19
113530.XSHG,113530,大丰转债,603081,大丰实业,2020-01-03,6.3,6.299154,111.69,16.76,15.36,19.968,-0.015165999999999999,-0.006934999999999999,21.87,100.401949,11.24286,107.74699941521114,1.0365949920293762,7.345050415211134,4.23013698630137,0.5096263921344732,16.76,2024-03-26
128014.XSHE,128014,永东转债,002753,永东股份,2020-01-03,3.4,3.3697739999999996,100.961,12.64,8.02,10.425999999999998,0.003588,0.00963,59.1205,100.33890699999999,0.619992,101.11771500850031,0.9984501725688012,0.7788080085003146,2.2849315068493152,0.3026552367959292,12.64,2022-04-16
128013.XSHE,128013,洪涛转债,002325,洪涛股份,2020-01-03,12.0,11.999492,97.49700000000001,8.0,3.27,4.251,0.000729,0.0072,138.5247,101.873822,-4.296317,101.91593761321214,0.9566413485790346,0.042115613212131274,1.5671232876712329,0.36784793929013654,8.0,2021-07-28
128063.XSHE,128063,未来转债,002631,德尔未来,2020-01-03,6.3,6.299836,110.59200000000001,8.67,8.15,10.595,0.002584,0.014316999999999998,17.6481,106.47464099999999,3.8669849999999997,110.57364272885754,1.0001660185075705,4.09900172885754,4.249315068493151,0.5189481022607173,8.67,2024-04-02
113027.XSHG,113027,华钰转债,601020,华钰矿业,2020-01-03,6.4,6.39995,107.14,10.17,9.16,11.908,-0.0068590000000000005,0.014294999999999999,18.9534,93.122127,15.053213000000001,96.96418115841782,1.1049441012135932,3.8420541584178065,4.446575342465754,0.3868463323336542,10.17,2024-06-13
113528.XSHG,113528,长城转债,603897,长城科技,2020-01-03,6.34,6.339601999999999,102.6,24.03,19.7,25.61,0.000195,0.009445,25.1511,96.812867,5.9776489999999995,103.26348897015875,0.9935747961183987,6.450621970158745,4.158904109589041,0.32272543903448325,24.03,2024-02-29
128023.XSHE,128023,亚太转债,002284,亚太股份,2020-01-03,10.0,9.994067999999999,94.7,10.34,5.2,6.76,0.002636,0.006997,88.3073,96.402567,-1.766101,97.19608678139072,0.974319060941159,0.7935197813907204,2.9178082191780823,0.4567983719760831,10.34,2022-12-03
128062.XSHE,128062,亚药转债,002370,亚太药业,2020-01-03,9.65,9.647789999999999,89.35,16.25,6.43,8.359,-0.0022329999999999997,0.000336,125.8067,98.766712,-9.534297,100.83459188078999,0.8861046425975775,2.067879880789991,4.2465753424657535,0.6384285265869626,16.25,2024-04-01
113525.XSHG,113525,台华转债,603055,台华新材,2020-01-03,5.33,5.32984,108.54,8.11,6.94,9.022,-0.002206,0.014393000000000001,26.8385,94.453085,14.914192000000002,97.22586391808703,1.11636961222011,2.7727789180870315,3.9534246575342467,0.3686675836576902,8.11,2023-12-16
113012.XSHG,113012,骆驼转债,601311,骆驼股份,2020-01-03,7.17,5.09636,106.92,13.29,9.66,12.558,0.001124,0.014133000000000001,47.098,97.125007,10.084934,99.66216656592253,1.0728243593748958,2.5371595659225323,2.219178082191781,0.4513294008149702,13.29,2022-03-23
128053.XSHE,128053,尚荣转债,002551,尚荣医疗,2020-01-03,7.5,7.497561,107.9,4.89,4.67,6.071000000000001,0.002229,0.018886,12.982999999999999,94.440591,14.25172,96.4520575047254,1.118690495479723,2.0114665047253997,4.115068493150685,0.33437905580343996,4.89,2024-02-13
