sec_id,cb_close,evalute_price,cb_close/evaluate_price,trade_date,pure_bond_close,option_price,duration,volatality,strike_price,stock_price,accrual_end_date
128012.XSHE,100.63,91.59064023858113,1.0986930513628093,20200403,91.568286,0.022354238581125698,1.0465753424657533,0.5145090485112969,7.71,2.5,2021-04-20
128015.XSHE,106.01,91.72874966105493,1.1556900142181752,20200403,90.27929300000001,1.4494566610549247,2.1780821917808217,0.5037684169933642,9.48,6.12,2022-06-07
113024.XSHG,105.25,95.38119017183001,1.103467044292394,20200403,94.135122,1.2460681718300233,4.013698630136986,0.2933270887592893,9.87,6.18,2024-04-07
128071.XSHE,108.141,96.75499025156162,1.1176787855472354,20200403,95.575057,1.1799332515616257,4.36986301369863,0.3420696893324517,4.38,3.33,2024-08-15
110063.XSHG,113.11,97.6538252421968,1.1582751594161258,20200403,96.543751,1.1100742421967973,4.695890410958904,0.2840067545675631,3.3,3.04,2024-12-12
128075.XSHE,113.55,97.65502194654556,1.1627666221011659,20200403,95.32148199999999,2.3335399465455726,4.473972602739726,0.34543904816913795,5.79,5.39,2024-09-22
128032.XSHE,103.01100000000001,97.6573216509133,1.0548210647044367,20200403,97.282738,0.3745836509133095,2.7260273972602738,0.3172130658721358,9.93,5.09,2022-12-24
113032.XSHG,110.76,97.87926504813285,1.1315981985105115,20200403,92.877787,5.001478048132855,4.912328767123288,0.3994576363520918,14.58,11.39,2025-03-01
110043.XSHG,108.97,97.90658028146946,1.1129997563669833,20200403,97.075455,0.8311252814694585,2.824657534246575,0.24048235993519357,6.52,5.0,2023-01-29
128044.XSHE,109.05,97.95870146116509,1.1132242299397155,20200403,96.671128,1.2875734611650904,3.361643835616438,0.39097177985118053,5.92,4.5,2023-08-13
128022.XSHE,104.1,98.08317582005407,1.061344100347898,20200403,97.065719,1.0174568200540686,2.66027397260274,0.476618929922008,7.91,4.54,2022-11-30
128034.XSHE,111.21,98.09702476604964,1.1336735264420437,20200403,97.10831999999999,0.9887047660496517,2.813698630136986,0.23916638860843303,4.68,4.18,2023-01-25
128033.XSHE,106.5,98.2681686501942,1.0837690522055896,20200403,96.82943900000001,1.4387296501941838,2.7315068493150685,0.3910096942532244,8.93,6.1,2022-12-26
113017.XSHG,106.42,98.39009293281862,1.0816129635395737,20200403,98.017262,0.3728309328186177,2.7315068493150685,0.362163886935183,2.95,2.02,2022-12-26
113014.XSHG,105.79,98.61808606518419,1.0727241241538126,20200403,97.82356700000001,0.7945190651841699,2.5643835616438357,0.35051954946907027,8.59,5.21,2022-10-26
128018.XSHE,106.18,98.68019674275757,1.0760010975332075,20200403,97.73168199999999,0.9485147427575763,2.591780821917808,0.3376252796222463,7.45,5.16,2022-11-05
128076.XSHE,110.29700000000001,98.74397068001461,1.1169998455644814,20200403,93.960317,4.7836536800146074,4.531506849315068,0.32945111321712056,14.96,12.36,2024-10-13
128037.XSHE,104.05,98.88322616047498,1.0522512668745254,20200403,98.545711,0.3375151604749742,2.9452054794520546,0.37505812114924264,8.01,3.61,2023-03-14
113027.XSHG,108.27,99.06422742048068,1.0929273141196083,20200403,96.25074000000001,2.8134874204806666,4.197260273972603,0.3953504521813526,10.17,7.98,2024-06-13
128049.XSHE,109.2,100.21710296542082,1.0896343714673,20200403,97.915183,2.3019199654208267,3.649315068493151,0.36469758918863165,7.52,6.36,2023-11-26
128023.XSHE,101.08200000000001,100.23475813717707,1.0084525755193965,20200403,99.47488,0.7598781371770744,2.6684931506849314,0.49235953936122734,10.34,4.68,2022-12-03
113011.XSHG,116.58,100.62489923783207,1.1585601663506488,20200403,100.017966,0.6069332378320608,1.9506849315068493,0.22880945618570925,3.97,3.59,2022-03-16
123026.XSHE,112.52,100.63277056734778,1.118124835137047,20200403,96.37540600000001,4.257364567347769,3.1835616438356165,0.4619320966982052,12.31,11.18,2023-06-09
113025.XSHG,113.3,100.86479332738232,1.1232858985023253,20200403,97.038016,3.8267773273823136,4.019178082191781,0.33751270198319944,11.3,10.21,2024-04-09
128048.XSHE,117.1,100.87636879015848,1.1608268755548652,20200403,98.486395,2.3899737901584768,3.6082191780821917,0.35468666177345887,5.91,5.78,2023-11-11
113542.XSHG,112.01,101.04962042991829,1.1084653215266964,20200403,95.906638,5.142982429918294,4.328767123287672,0.31175304046632807,16.62,14.03,2024-07-31
128046.XSHE,113.398,101.21417931248126,1.1203766188717816,20200403,96.19358100000001,5.020598312481253,3.536986301369863,0.42509402461102647,18.62,14.52,2023-10-16
110064.XSHG,113.0,101.41802134172134,1.1142004005309267,20200403,100.00972900000001,1.4082923417213336,4.715068493150685,0.3256754910029307,4.65,3.85,2024-12-19
113535.XSHG,105.77,101.41889389491713,1.0429023226144742,20200403,99.329944,2.0889498949171323,3.095890410958904,0.4100703284072136,12.56,9.2,2023-05-08
128025.XSHE,115.37,101.49116040510322,1.13674924534806,20200403,97.02023299999999,4.470927405103228,2.673972602739726,0.2824276862490645,15.45,15.3,2022-12-05
110059.XSHG,106.29,101.49468525419762,1.047246954200531,20200403,99.35470600000001,2.139979254197606,4.5698630136986305,0.21285490128254037,15.05,10.15,2024-10-27
110042.XSHG,117.99,101.94071230165518,1.1574374686617157,20200403,98.213298,3.7274143016551826,2.7260273972602738,0.3205915085587889,14.18,13.06,2022-12-24
123010.XSHE,116.43799999999999,101.96663197763111,1.1419225852781283,20200403,98.130214,3.8364179776311143,3.252054794520548,0.4216025408367459,12.38,11.12,2023-07-04
