sec_id,cb_close,evalute_price,cb_close/evaluate_price,trade_date,pure_bond_close,option_price,duration,volatality,strike_price,stock_price,accrual_end_date
128050.XSHE,119.999,114.22804803187351,1.050521321755548,20200403,106.076296,8.15175203187351,3.684931506849315,0.520753355975744,14.93,15.9,2023-12-09
128035.XSHE,108.26,101.32596424164281,1.0684329609913297,20200403,95.885239,5.440725241642803,2.8438356164383563,0.4707018346681899,52.3,29.16,2023-02-05
113557.XSHG,111.25,102.19082321023551,1.0886496116302655,20200403,98.468595,3.722228210235514,4.712328767123288,0.3508177492089019,10.26,8.7,2024-12-18
113559.XSHG,112.33,100.72934415449242,1.1151665976074976,20200403,96.48649300000001,4.242851154492411,4.723287671232876,0.4689278489917185,10.39,8.12,2024-12-22
128096.XSHE,112.23,97.42443171965854,1.1519697679422436,20200403,95.800241,1.62419071965854,4.86027397260274,0.3041807621135827,4.7,4.05,2025-02-10
113009.XSHG,113.4,103.14691299615957,1.099402751919703,20200403,102.675304,0.47160899615957896,0.8027397260273973,0.3622535976356895,14.41,10.15,2021-01-21
128012.XSHE,100.63,91.58417281656993,1.0987706380396924,20200403,91.568286,0.015886816569924876,1.0465753424657533,0.5145090485112969,7.71,2.5,2021-04-20
110038.XSHG,115.8,103.74691135175492,1.116177807042168,20200403,99.563221,4.183690351754918,1.610958904109589,0.3548452282897432,25.5,21.87,2021-11-12
123030.XSHE,115.25,103.66931111573976,1.1117079756740273,20200403,100.73904300000001,2.9302681157397448,4.380821917808219,0.4599741996677639,5.7,5.62,2024-08-19
127012.XSHE,107.5,94.27639859948384,1.140264176368194,20200403,92.701198,1.575200599483834,3.967123287671233,0.2212267543494683,9.09,6.94,2024-03-21
113026.XSHG,105.65,95.05076459529397,1.1115113113485762,20200403,94.17510300000001,0.8756615952939695,4.032876712328767,0.199742858796003,6.2,4.39,2024-04-14
128040.XSHE,116.199,102.50427170122012,1.1336015374919919,20200403,98.319979,4.184292701220122,3.1945205479452055,0.4680336714810164,11.37,10.24,2023-06-13
128048.XSHE,117.1,100.7527945944191,1.1622506400084152,20200403,98.486395,2.266399594419095,3.6082191780821917,0.35468666177345887,5.91,5.78,2023-11-11
110031.XSHG,117.75,106.0870902522638,1.1099371254315962,20200403,105.75752800000001,0.32956225226380537,0.18904109589041096,0.3490163860909685,21.79,19.02,2020-06-11
113527.XSHG,102.87,104.36045310282216,0.9857182193205536,20200403,102.448293,1.912160102822159,3.808219178082192,0.4312473970240284,10.52,6.86,2024-01-23
128032.XSHE,103.01100000000001,97.66570797585453,1.0547304896972332,20200403,97.282738,0.3829699758545365,2.7260273972602738,0.3172130658721358,9.93,5.09,2022-12-24
113516.XSHG,108.58,102.4744712707501,1.0595809732271595,20200403,101.43804499999999,1.0364262707501057,3.328767123287671,0.25699318037644503,5.67,4.41,2023-08-01
128044.XSHE,109.05,98.05156257123683,1.1121699352906542,20200403,96.671128,1.3804345712368296,3.361643835616438,0.39097177985118053,5.92,4.5,2023-08-13
127007.XSHE,118.9,102.11289354534401,1.164397519958648,20200403,99.727753,2.3851405453439987,3.232876712328767,0.46207945792904487,5.61,5.45,2023-06-27
110047.XSHG,113.7,103.5006863452665,1.0985434398058942,20200403,102.437188,1.0634983452664957,3.632876712328767,0.2840067545675631,3.34,3.04,2023-11-20
110042.XSHG,117.99,102.16428964417621,1.1549045210507751,20200403,98.213298,3.950991644176215,2.7260273972602738,0.3205915085587889,14.18,13.06,2022-12-24
110041.XSHG,113.38,99.96943409728405,1.1341466621654137,20200403,99.236899,0.7325350972840569,2.717808219178082,0.3102617862386536,2.82,2.5,2022-12-21
113528.XSHG,106.1,104.11472897618697,1.0190681092227316,20200403,99.395668,4.71906097618696,3.9095890410958902,0.33652220972767904,24.03,16.45,2024-02-29
110063.XSHG,113.11,97.79151266072468,1.1566443438953735,20200403,96.543751,1.2477616607246766,4.695890410958904,0.2840067545675631,3.3,3.04,2024-12-12
113012.XSHG,107.35,99.37120709579321,1.0802928044993483,20200403,98.278705,1.0925020957932066,1.9698630136986301,0.397551653801113,13.29,8.45,2022-03-23
128026.XSHE,103.53,99.10999864487633,1.044596926804137,20200403,97.392485,1.717513644876341,2.6931506849315068,0.4282759962921106,11.54,7.77,2022-12-12
