trade_date,buysell,sec_id,shares,price,value,cash
2019-01-04,0,113502.XSHG,43,95.0,40850.0,959150.0
2019-01-04,0,113519.XSHG,43,97.8,42054.0,917096.0
2019-01-04,0,113521.XSHG,43,91.5,39345.0,877751.0
2019-01-04,0,123011.XSHE,43,89.98,38691.4,839059.6
2019-01-04,0,127003.XSHE,43,87.905,37799.15,801260.45
2019-01-04,0,127004.XSHE,43,89.459,38467.37,762793.08
2019-01-04,0,127007.XSHE,43,89.789,38609.270000000004,724183.8099999999
2019-01-04,0,128010.XSHE,43,92.66,39843.799999999996,684340.0099999999
2019-01-04,0,128013.XSHE,43,88.463,38039.09,646300.9199999999
2019-01-04,0,128014.XSHE,43,93.67,40278.1,606022.82
2019-01-04,0,128015.XSHE,43,87.99,37835.7,568187.12
2019-01-04,0,128018.XSHE,43,87.94,37814.2,530372.92
2019-01-04,0,128023.XSHE,43,99.38,42733.4,487639.52
2019-01-04,0,128026.XSHE,43,94.897,40805.71000000001,446833.81
2019-01-04,0,128036.XSHE,43,97.77,42041.1,404792.71
2019-01-04,0,128037.XSHE,43,92.75,39882.5,364910.21
2019-01-04,0,128040.XSHE,43,92.802,39904.86,325005.35000000003
2019-01-04,0,128042.XSHE,43,88.62700000000002,38109.610000000015,286895.74
2019-01-04,0,128049.XSHE,43,89.444,38460.92,248434.82
2019-01-04,0,128050.XSHE,43,95.211,40940.729999999996,207494.09000000003
2019-01-11,1,113502.XSHG,-1,97.921,-979.21,208473.30000000002
2019-01-11,1,113519.XSHG,43,97.921,42106.03,250579.33000000002
2019-01-11,1,113521.XSHG,-1,101.3,-1013.0,251592.33000000002
2019-01-11,1,123011.XSHE,-1,91.9,-919.0,252511.33000000002
2019-01-11,1,127003.XSHE,-1,91.968,-919.6800000000001,253431.01
2019-01-11,1,127004.XSHE,-1,97.73,-977.3000000000001,254408.31
2019-01-11,1,127007.XSHE,-1,91.13,-911.3,255319.61
2019-01-11,1,128010.XSHE,-1,95.24,-952.4,256272.00999999998
2019-01-11,1,128013.XSHE,-1,93.859,-938.5899999999999,257210.59999999998
2019-01-11,1,128014.XSHE,-1,90.821,-908.21,258118.80999999997
2019-01-11,1,128015.XSHE,-1,96.749,-967.49,259086.29999999996
2019-01-11,1,128018.XSHE,-1,99.138,-991.3800000000001,260077.67999999996
2019-01-11,1,128023.XSHE,-1,90.519,-905.19,260982.86999999997
2019-01-11,1,128026.XSHE,-1,94.121,-941.2099999999999,261924.07999999996
2019-01-11,1,128036.XSHE,43,94.121,40472.03,302396.11
2019-01-11,1,128037.XSHE,-1,96.95,-969.5,303365.61
2019-01-11,1,128040.XSHE,-1,89.9,-899.0,304264.61
2019-01-11,1,128042.XSHE,-1,89.81,-898.1,305162.70999999996
2019-01-11,1,128049.XSHE,-1,95.15,-951.5,306114.20999999996
2019-01-11,1,128050.XSHE,-1,95.258,-952.5799999999999,307066.79
2019-01-11,0,113524.XSHG,42,93.512,39275.04,267791.75
2019-01-11,0,123010.XSHE,42,90.35,37947.0,229844.75
2019-01-18,1,113502.XSHG,0,97.888,0.0,229844.75
2019-01-18,1,113521.XSHG,42,97.888,41112.96000000001,270957.71
2019-01-18,1,123011.XSHE,0,89.85,0.0,270957.71
2019-01-18,1,127003.XSHE,0,92.54,0.0,270957.71
2019-01-18,1,127004.XSHE,0,91.637,0.0,270957.71
2019-01-18,1,127007.XSHE,0,91.211,0.0,270957.71
2019-01-18,1,128010.XSHE,0,97.46,0.0,270957.71
2019-01-18,1,128013.XSHE,0,93.933,0.0,270957.71
2019-01-18,1,128014.XSHE,0,95.2,0.0,270957.71
2019-01-18,1,128015.XSHE,0,97.502,0.0,270957.71
2019-01-18,1,128018.XSHE,0,93.901,0.0,270957.71
2019-01-18,1,128023.XSHE,0,90.317,0.0,270957.71
2019-01-18,1,128026.XSHE,0,99.11,0.0,270957.71
2019-01-18,1,128037.XSHE,0,89.76899999999998,0.0,270957.71
2019-01-18,1,128040.XSHE,0,96.76,0.0,270957.71
2019-01-18,1,128042.XSHE,0,90.34,0.0,270957.71
2019-01-18,1,128049.XSHE,0,89.83,0.0,270957.71
2019-01-18,1,128050.XSHE,0,97.293,0.0,270957.71
2019-01-18,1,113524.XSHG,0,100.82,0.0,270957.71
2019-01-18,1,123010.XSHE,0,93.302,0.0,270957.71
2019-01-18,0,128051.XSHE,42,95.151,39963.42,230994.29000000004
2019-01-25,1,113502.XSHG,0,96.54,0.0,230994.29000000004
2019-01-25,1,123011.XSHE,42,96.54,40546.8,271541.09
2019-01-25,1,127003.XSHE,0,91.15,0.0,271541.09
2019-01-25,1,127004.XSHE,0,95.2,0.0,271541.09
2019-01-25,1,127007.XSHE,42,95.2,39984.0,311525.09
2019-01-25,1,128010.XSHE,0,99.5,0.0,311525.09
2019-01-25,1,128013.XSHE,0,89.6,0.0,311525.09
2019-01-25,1,128014.XSHE,0,90.251,0.0,311525.09
2019-01-25,1,128015.XSHE,0,96.74,0.0,311525.09
2019-01-25,1,128018.XSHE,0,90.318,0.0,311525.09
2019-01-25,1,128023.XSHE,0,93.521,0.0,311525.09
2019-01-25,1,128026.XSHE,0,94.05,0.0,311525.09
2019-01-25,1,128037.XSHE,0,90.199,0.0,311525.09
2019-01-25,1,128040.XSHE,0,95.23,0.0,311525.09
2019-01-25,1,128042.XSHE,0,89.899,0.0,311525.09
2019-01-25,1,128049.XSHE,0,95.56,0.0,311525.09
2019-01-25,1,128050.XSHE,0,102.85,0.0,311525.09
2019-01-25,1,113524.XSHG,0,91.406,0.0,311525.09
2019-01-25,1,123010.XSHE,0,92.48,0.0,311525.09
2019-01-25,1,128051.XSHE,42,92.48,38841.600000000006,350366.69000000006
2019-01-25,0,113519.XSHG,42,92.781,38968.020000000004,311398.67000000004
2019-01-25,0,113521.XSHG,42,89.766,37701.72,273696.95000000007
2019-01-25,0,128036.XSHE,42,98.456,41351.520000000004,232345.43000000005
2019-02-01,1,113502.XSHG,0,95.31,0.0,232345.43000000005
2019-02-01,1,127003.XSHE,0,91.18,0.0,232345.43000000005
2019-02-01,1,127004.XSHE,0,91.148,0.0,232345.43000000005
2019-02-01,1,128010.XSHE,0,95.546,0.0,232345.43000000005
2019-02-01,1,128013.XSHE,0,88.899,0.0,232345.43000000005
2019-02-01,1,128014.XSHE,0,98.56,0.0,232345.43000000005
2019-02-01,1,128015.XSHE,0,88.93,0.0,232345.43000000005
2019-02-01,1,128018.XSHE,0,95.326,0.0,232345.43000000005
2019-02-01,1,128023.XSHE,0,89.255,0.0,232345.43000000005
2019-02-01,1,128026.XSHE,0,90.4,0.0,232345.43000000005
2019-02-01,1,128037.XSHE,0,98.35,0.0,232345.43000000005
2019-02-01,1,128040.XSHE,0,90.42,0.0,232345.43000000005
2019-02-01,1,128042.XSHE,0,94.61,0.0,232345.43000000005
2019-02-01,1,128049.XSHE,42,94.61,39736.2,272081.63000000006
2019-02-01,1,128050.XSHE,0,94.392,0.0,272081.63000000006
2019-02-01,1,113524.XSHG,0,101.25,0.0,272081.63000000006
2019-02-01,1,123010.XSHE,0,88.36,0.0,272081.63000000006
2019-02-01,1,113519.XSHG,42,88.36,37111.2,309192.8300000001
2019-02-01,1,113521.XSHG,0,92.5,0.0,309192.8300000001
2019-02-01,1,128036.XSHE,0,93.42,0.0,309192.8300000001
2019-02-01,0,123011.XSHE,42,93.22,39152.399999999994,270040.43000000005
2019-02-01,0,128051.XSHE,42,98.512,41375.04,228665.39000000004
2019-02-15,1,113502.XSHG,-1,98.13,-981.3,229646.69000000003
2019-02-15,1,127003.XSHE,-1,89.949,-899.49,230546.18000000002
2019-02-15,1,127004.XSHE,-1,92.6,-926.0,231472.18000000002
2019-02-15,1,128010.XSHE,-1,93.155,-931.55,232403.73
2019-02-15,1,128013.XSHE,-1,98.99,-989.9,233393.63
2019-02-15,1,128014.XSHE,-1,99.131,-991.31,234384.94
2019-02-15,1,128015.XSHE,-1,91.41,-914.0999999999999,235299.04
2019-02-15,1,128018.XSHE,-1,99.6,-996.0,236295.04
2019-02-15,1,128023.XSHE,-1,90.529,-905.29,237200.33000000002
2019-02-15,1,128026.XSHE,-1,91.573,-915.7299999999999,238116.06000000003
2019-02-15,1,128037.XSHE,-1,97.566,-975.6600000000001,239091.72000000003
2019-02-15,1,128040.XSHE,-1,95.8,-958.0,240049.72000000003
2019-02-15,1,128042.XSHE,-1,93.0,-930.0,240979.72000000003
2019-02-15,1,128050.XSHE,-1,100.498,-1004.98,241984.70000000004
2019-02-15,1,113524.XSHG,-1,95.32,-953.1999999999999,242937.90000000005
2019-02-15,1,123010.XSHE,-1,94.202,-942.02,243879.92000000004
