,0,1,2,3,4,5,6,7,8,9,10,11
0,128062.XSHE,90.15,87.02000501979325,1.0359686830573593,20200403,85.59585600000001,1.4241490197932367,3.9972602739726026,0.6282945055943112,16.25,4.89,2024-04-01
1,128015.XSHE,106.01,91.5112813729572,1.1584364070693405,20200403,90.27929300000001,1.231988372957186,2.1780821917808217,0.5037684169933642,9.48,6.12,2022-06-07
2,128012.XSHE,100.63,91.57525130777852,1.0988776832486002,20200403,91.568286,0.006965307778516028,1.0465753424657533,0.5145090485112969,7.71,2.5,2021-04-20
3,127012.XSHE,107.5,94.36744994677913,1.139163981443043,20200403,92.701198,1.6662519467791332,3.967123287671233,0.2212267543494683,9.09,6.94,2024-03-21
4,110066.XSHG,106.68,94.6071413198513,1.1276104373488292,20200403,92.62968000000001,1.97746131985128,4.912328767123288,0.42779596187902474,4.92,4.15,2025-03-01
5,113026.XSHG,105.65,94.99812890661495,1.1121271673030113,20200403,94.17510300000001,0.8230259066149486,4.032876712328767,0.199742858796003,6.2,4.39,2024-04-14
6,113024.XSHG,105.25,95.5162108163757,1.1019071956522326,20200403,94.135122,1.3810888163757136,4.013698630136986,0.2933270887592893,9.87,6.18,2024-04-07
7,110065.XSHG,110.55,96.40442072802168,1.1467316453452499,20200403,92.759862,3.6445587280216776,4.723287671232876,0.3550212965443059,9.93,8.35,2024-12-22
8,113532.XSHG,106.74,96.44543512728463,1.1067397835794823,20200403,94.628502,1.816933127284626,3.9972602739726026,0.38554282091617265,7.75,5.67,2024-04-01
9,128071.XSHE,108.141,96.7702980449982,1.1175019834052224,20200403,95.575057,1.1952410449981934,4.36986301369863,0.3420696893324517,4.38,3.33,2024-08-15
10,128096.XSHE,112.23,97.30512122863762,1.1533822535022944,20200403,95.800241,1.5048802286376168,4.86027397260274,0.3041807621135827,4.7,4.05,2025-02-10
11,128032.XSHE,103.01100000000001,97.60052177735737,1.0554349313314617,20200403,97.282738,0.3177837773573837,2.7260273972602738,0.3172130658721358,9.93,5.09,2022-12-24
12,113545.XSHG,109.99,97.72414444903323,1.1255150978309547,20200403,93.960317,3.7638274490332315,4.531506849315068,0.40154825642754316,11.4,9.34,2024-10-13
13,113032.XSHG,110.76,97.73566186234677,1.133260857802314,20200403,92.877787,4.857874862346779,4.912328767123288,0.3994576363520918,14.58,11.39,2025-03-01
14,110063.XSHG,113.11,97.75056625314458,1.1571288467739318,20200403,96.543751,1.2068152531445873,4.695890410958904,0.2840067545675631,3.3,3.04,2024-12-12
15,123004.XSHE,107.30799999999999,97.79861563526715,1.0972343453224063,20200403,96.911159,0.8874566352671591,2.706849315068493,0.4381214938347581,3.98,3.06,2022-12-17
16,128075.XSHE,113.55,97.83430670459703,1.1606358119637448,20200403,95.32148199999999,2.5128247045970307,4.473972602739726,0.34543904816913795,5.79,5.39,2024-09-22
17,128044.XSHE,109.05,97.90924737497164,1.1137865209234183,20200403,96.671128,1.2381193749716413,3.361643835616438,0.39097177985118053,5.92,4.5,2023-08-13
18,110043.XSHG,108.97,97.96194203034614,1.11237076094555,20200403,97.075455,0.8864870303461352,2.824657534246575,0.24048235993519357,6.52,5.0,2023-01-29
19,123023.XSHE,104.35,97.9927718671082,1.0648744597357964,20200403,96.74934300000001,1.2434288671081866,3.9616438356164383,0.36141908090193575,7.19,4.83,2024-03-19
20,128034.XSHE,111.21,98.10734237985805,1.1335543018728431,20200403,97.10831999999999,0.9990223798580549,2.813698630136986,0.23916638860843303,4.68,4.18,2023-01-25
21,128033.XSHE,106.5,98.13070954817795,1.0852871694330621,20200403,96.82943900000001,1.3012705481779423,2.7315068493150685,0.3910096942532244,8.93,6.1,2022-12-26
22,128022.XSHE,104.1,98.17833774867293,1.0603153647445727,20200403,97.065719,1.112618748672926,2.66027397260274,0.476618929922008,7.91,4.54,2022-11-30
23,113014.XSHG,105.79,98.46937194000859,1.074344214000384,20200403,97.82356700000001,0.6458049400085722,2.5643835616438357,0.35051954946907027,8.59,5.21,2022-10-26
24,113017.XSHG,106.42,98.47304825797288,1.0807017948830857,20200403,98.017262,0.4557862579728692,2.7315068493150685,0.362163886935183,2.95,2.02,2022-12-26
25,128076.XSHE,110.29700000000001,98.52155966266128,1.119521456802531,20200403,93.960317,4.561242662661278,4.531506849315068,0.32945111321712056,14.96,12.36,2024-10-13
26,128018.XSHE,106.18,98.54852975295923,1.0774387021924254,20200403,97.73168199999999,0.8168477529592333,2.591780821917808,0.3376252796222463,7.45,5.16,2022-11-05
27,128064.XSHE,107.19,98.59210172094973,1.0872067653389248,20200403,96.972577,1.619524720949731,4.013698630136986,0.38345235552803686,6.15,4.87,2024-04-07
28,113016.XSHG,104.16,98.68234427104623,1.0555079611192508,20200403,97.73168199999999,0.9506622710462439,2.591780821917808,0.36476613444781303,17.12,9.04,2022-11-05
29,110045.XSHG,102.44,98.71510786545726,1.0377337594527025,20200403,98.225658,0.48944986545726615,3.2739726027397262,0.24821418372043125,12.02,6.3,2023-07-12
30,127006.XSHE,108.265,98.89468267315051,1.0947504665930183,20200403,95.590191,3.304491673150504,2.9397260273972603,0.28860402110850775,20.62,15.62,2023-03-12
31,113525.XSHG,106.63,98.91323178879219,1.0780155300929333,20200403,97.453918,1.4593137887921908,3.7041095890410958,0.34974928162899777,8.11,5.83,2023-12-16
32,128037.XSHE,104.05,98.91439721304143,1.051919669245899,20200403,98.545711,0.36868621304142685,2.9452054794520546,0.37505812114924264,8.01,3.61,2023-03-14
